"gmPerSeed","gmPerCm","maxHt","leafN","leafP","SLA","broaddeciduous","broadevergreen","needleevergreen"
"100184980010478_ereg_231",0.694,0.812,0.302,0.252,0.221,0.17,0.026,0,0.026
"100185301010661_ereg_212",1.281,0.79,0.6,0.601,0.522,0.422,0.316,0,0.316
"100185387010661_ereg_212",0.677,0.259,1.563,0.922,0.849,0.68,0.475,0,0.475
"100185482010661_ereg_212",0.464,0.485,0.209,0.478,0.314,0.236,0.348,0,0.348
"100185715010661_ereg_212",0.514,0.446,0.541,0.257,0.539,0.486,0.144,0,0.144
"100186311010661_ereg_212",0.185,1.083,0.611,0.769,0.774,0.985,0,0,0
"100186408010661_ereg_212",0.853,0.769,0.29,0.602,0.258,0.279,0,0,0
"100186496010478_ereg_232",0.719,0.531,0.256,0.221,0.478,0.218,0,0,0
"100186718010661_ereg_212",0.683,0.862,0.555,0.677,0.65,0.746,0.5,0,0.5
"100186828010478_ereg_221",0.712,0.814,0.623,0.396,0.199,0.404,0,0,0
"100186982010661_ereg_212",0.509,0.668,0.602,0.481,0.521,0.685,0.307,0,0.307
"100187153010478_ereg_M221",0.681,0.907,0.55,0.324,0.162,0.38,0,0,0
"100187171010661_ereg_212",0.371,0.547,0.331,0.517,0.322,0.605,0.375,0,0.375
"100187285010478_ereg_M221",0.049,0.238,0.515,0.3,0.315,0.094,0,0,0
"100187391010478_ereg_M221",0.764,1.197,0.777,0.43,0.202,0.583,0.258,0,0.258
"100187567010661_ereg_212",1.447,0.929,0.859,0.788,0.68,0.597,0.37,0,0.37
"100187663010661_ereg_212",0.646,0.674,0.205,0.911,0.496,1.072,0.439,0,0.439
"100187768010478_ereg_M221",0.669,0.675,0.363,0.684,0.502,0.427,0.322,0,0.322
"100188040010478_ereg_M221",0.673,0.884,0.739,0.782,0.669,0.313,0,0,0
"100188181010661_ereg_212",0.317,0.377,0.311,0.444,0.3,0.69,0.281,0,0.281
"100188196010478_ereg_M221",0.912,1.275,1.064,0.619,0.396,0.67,0.501,0,0.501
"100188300010661_ereg_212",0.508,0.925,0.714,0.679,0.692,1.003,0.462,0,0.462
"100188332010478_ereg_M221",0.658,1.127,0.95,0.754,0.438,0.809,0.386,0,0.386
"100188427010478_ereg_M221",0.592,0.942,0.437,0.333,0.242,0.345,0,0,0
"100188608010478_ereg_M221",0.536,0.522,0.258,0.691,0.476,0.569,0.084,0,0.084
"100188630010661_ereg_212",0.4,0.099,0.255,0.844,0.478,0.691,0.346,0,0.346
"100188711010661_ereg_212",0.216,0.293,0.142,0.278,0.182,0.247,0.203,0,0.203
"100188743010478_ereg_M221",0.602,0.762,0.216,0.403,0.664,0.376,0,0,0
"100188849010478_ereg_M221",0.759,0.708,0.505,0.776,0.395,0.98,0.439,0,0.439
"100188916010478_ereg_M221",0.689,0.971,0.729,0.375,0.49,0.629,0.242,0,0.242
"100188976010478_ereg_M221",0.371,0.375,0.217,0.513,1.042,0.135,0,0,0
"100189113010478_ereg_M221",0.806,0.866,0.835,0.542,0.96,0.263,0,0,0
"100189203010478_ereg_M221",0.359,0.421,0.257,0.287,0.144,0.462,0,0,0
"100189204010661_ereg_212",0.636,0.664,0.286,0.654,0.43,0.323,0.477,0,0.477
"100189246010661_ereg_212",0.632,0.422,0.519,0.278,0.323,0.455,0.146,0,0.146
"100189360010661_ereg_212",0.571,0.863,0.617,0.748,0.75,1.133,0.467,0,0.467
"100189454010478_ereg_M221",0.276,0.373,0.249,0.209,0.101,0.294,0.09,0,0.09
"100189504010661_ereg_212",0.758,0.334,0.386,0.396,0.31,0.591,0,0,0
"100189513010478_ereg_M221",0.628,0.851,0.601,0.564,0.295,0.499,0.221,0,0.221
"100189622010478_ereg_M221",0.399,0.49,0.258,0.288,0.27,0.492,0,0,0
"100189644010661_ereg_212",0.723,0.764,0.558,0.882,0.593,0.756,0.374,0,0.374
"100189794010661_ereg_212",0.653,0.784,0.653,0.494,0.419,0.186,0.073,0,0.073
"100189946010661_ereg_212",0.617,0.852,0.506,0.978,0.995,0.838,0.476,0,0.476
"100190012010478_ereg_M221",0.591,0.457,0.277,0.182,0.471,0.373,0,0,0
