"gmPerSeed","gmPerCm","maxHt","leafN","leafP","SLA","broaddeciduous","broadevergreen","needleevergreen"
"20637736010478_ereg_223",0,0,0,0,0,0,0,0,0
"20637744010478_ereg_223",0.497,0.651,0.611,0.357,0.475,0.797,0.463,0,0.463
"20637752010478_ereg_223",0.848,1.054,0.678,0.537,0.294,0.698,0.425,0,0.425
"20637760010478_ereg_223",0.181,0.249,0.375,0.432,0.244,0.354,0,0,0
"20637776010478_ereg_223",0.615,0.762,0.643,0.433,0.672,0.757,0.444,0,0.444
"20637788010478_ereg_M221",0.958,0.995,0.504,0.814,0.419,1.073,0.452,0,0.452
"20637797010478_ereg_M221",0.099,0.647,0.805,0.459,0.4,0.158,0,0,0
"20637801010478_ereg_M221",0.92,0.563,0.61,0.419,0.19,0.335,0.088,0,0.088
"20637812010478_ereg_M221",0.768,0.945,0.821,0.449,0.264,0.723,0.324,0,0.324
"20637816010478_ereg_M221",0.379,0.688,0.405,0.489,0.647,0.265,0,0,0
"20637824010478_ereg_221",0.804,1.158,0.654,0.447,0.773,0.192,0,0,0
"20637828010478_ereg_221",0.662,0.453,0.422,0.694,0.571,0.368,0.08,0,0.08
"20637832010478_ereg_221",0.9,0.713,0.67,0.692,0.446,0.634,0.201,0,0.201
"20637840010478_ereg_221",0.64,0.903,0.423,0.263,0.273,0.297,0,0,0
"20637876010478_ereg_221",0.967,0.756,0.574,0.521,0.313,0.451,0,0,0
"20637888010478_ereg_M221",1.221,0.695,0.931,0.734,0.421,1.084,0.476,0,0.476
"20637892010478_ereg_M221",0.888,0.972,0.648,0.755,0.357,0.796,0.366,0,0.366
"20637912010478_ereg_221",0.854,1.116,0.507,0.943,0.846,0.493,0.456,0,0.456
"20637972010478_ereg_231",0.534,0.794,0.652,0.43,0.369,0.637,0,0,0
"20637984010478_ereg_231",0.417,0.459,0.596,0.554,0.826,0.349,0.095,0,0.095
"20638021010478_ereg_223",0.762,0.888,0.679,0.499,0.646,0.772,0.459,0,0.459
"20638029010478_ereg_223",0.991,0.717,0.427,0.519,0.416,0.6,0,0,0
"20638045010478_ereg_223",0.563,0.651,0.35,0.192,0.446,0.394,0.236,0,0.236
"20638053010478_ereg_223",0.833,0.988,0.751,0.367,0.331,0.853,0.453,0,0.453
"20638061010478_ereg_223",0.563,0.341,0.269,0.628,0.411,0.529,0.303,0,0.303
"20638077010478_ereg_M221",0.418,0.602,0.238,0.409,0.224,0.529,0,0,0
"20638144010478_ereg_223",0.757,0.767,0.24,0.27,0.569,0.844,0,0,0
"20638149010478_ereg_223",0.667,0.616,0.373,0.447,0.549,0.382,0,0,0
"20638153010478_ereg_223",0.118,0.301,0.392,0.126,0.267,0.256,0,0,0
"20638209010478_ereg_M221",0.83,1.062,0.769,0.605,0.183,0.74,0.293,0,0.293
"20638217010478_ereg_M221",0.783,0.912,0.693,0.712,0.275,0.763,0.365,0,0.365
"20638237010478_ereg_221",0.315,0.529,0.793,0.366,0.579,0.923,0.496,0,0.496
"20638245010478_ereg_221",0.759,1.102,0.829,0.336,0.385,0.398,0,0,0
"20638253010478_ereg_221",0.988,0.875,0.716,0.429,0.197,0.446,0.167,0,0.167
"20638269010478_ereg_223",1.092,1.39,0.865,0.446,0.214,0.512,0,0,0
"20638277010478_ereg_223",0.727,0.791,0.308,0.49,0.937,0.289,0,0,0
"20638313010478_ereg_M221",0.676,0.638,0.333,0.394,0.165,0.413,0,0,0
"20638317010478_ereg_M221",0.2,0.324,0.434,0.155,0,0.633,0.364,0,0.364
"20638381010478_ereg_223",0.987,0.51,0.678,0.703,0.646,0.685,0.317,0,0.317
"20638389010478_ereg_223",0.786,0.958,0.524,0.309,0.466,0.507,0,0,0
"20638397010478_ereg_223",0.658,0.517,0.779,0.323,0.465,1.285,0,0,0
"20638409010478_ereg_231",0.294,0.329,0.371,0.162,0.46,0.433,0,0,0
"20638449010478_ereg_223",1.095,0.705,0.723,0.608,0.377,0.778,0.359,0,0.359
"20638473010478_ereg_223",0.889,1.065,0.618,0.527,0.535,0.203,0,0,0
"20638481010478_ereg_223",0.151,0.686,0.905,0.566,1.301,0.402,0,0,0
"20638489010478_ereg_223",0.456,0.689,0.737,0.532,0.815,1.015,0.419,0,0.419
"20638510010478_ereg_223",0.477,0.634,0.902,0.347,0.584,0.957,0,0,0
"20638555010478_ereg_223",0.631,0.648,0.352,0.623,0.846,0.383,0.228,0,0.228
"20643334010478_ereg_223",0.855,0.995,0.636,0.328,0.388,0.488,0,0,0
"20643339010478_ereg_223",0.964,0.658,0.41,0.309,0.427,0.567,0,0,0
"20643350010478_ereg_223",0.814,1.213,0.674,0.344,1.049,0.548,0,0,0
"20643390010478_ereg_M221",0.817,0.696,0.396,0.343,0.634,0.498,0.18,0,0.18
"20643395010478_ereg_M221",0.632,0.345,0.342,0.212,0.402,1.01,0,0,0
"20643406010478_ereg_221",0.789,0.979,0.7,0.402,0.565,0.338,0,0,0
"20643411010478_ereg_M221",0.736,0.849,1.225,0.942,0.264,0.884,0.501,0,0.501
"20643429010478_ereg_223",0.538,0.881,1.11,0.382,0.569,0.459,0.18,0,0.18
"20643573010478_ereg_M221",0.954,1.288,1.346,0.653,0.237,0.922,0.496,0,0.496
"20643613010478_ereg_221",0.47,0.517,0.89,0.804,0.257,0.639,0.366,0,0.366
"20643625010478_ereg_221",0.433,0.601,0.473,0.207,0.403,0.259,0,0,0
"20643638010478_ereg_221",0.842,0.78,0.421,0.262,0.74,0.5,0,0,0
"20643695010478_ereg_223",0.787,0.801,0.58,0.647,0.84,0.761,0.293,0,0.293
"20643725010478_ereg_M221",0.5,0.53,0.249,0.724,0.414,0.606,0,0,0
"20643762010478_ereg_223",1.097,0.794,0.757,0.561,0.897,0.469,0,0,0
"20643798010478_ereg_231",0.277,0.348,0.221,0.305,0.417,0.222,0,0,0
"20643803010478_ereg_231",0.68,0.489,0.378,0.259,0.147,0.348,0,0,0
"20643822010478_ereg_223",0.951,1.004,0.808,0.708,0.842,0.642,0.307,0,0.307
"20643827010478_ereg_231",0.997,0.685,0.62,0.614,0.297,0.818,0.389,0,0.389
"20643844010478_ereg_223",1.064,0.792,0.733,0.3,0.391,0.459,0,0,0
"20644029010478_ereg_223",0.596,1.158,0.733,0.504,0.494,0.511,0,0,0
"20644041010478_ereg_223",0.446,0.664,0.308,0.325,0.288,0.829,0,0,0
"20644125010478_ereg_223",0.996,1.161,0.7,0.58,0.37,0.758,0.457,0,0.457
"20644130010478_ereg_223",0.619,0.616,0.386,0.317,0.691,0.6,0.129,0,0.129
"20645180010478_ereg_M221",0.071,0.634,0.713,0.342,0.447,0.186,0,0,0
"20645270010478_ereg_223",0.853,0.739,0.455,0.441,0.525,0.626,0,0,0
"20645453010478_ereg_221",0.712,1.051,0.643,0.314,0.276,0.152,0,0,0
"20646452010478_ereg_M221",0.798,1.143,0.846,0.508,0.197,0.558,0.256,0,0.256
"20646892010478_ereg_223",0.622,0.708,0.737,0.463,0.329,0.564,0,0,0
"20646897010478_ereg_223",0.22,0.139,0.439,0.893,0.412,0.739,0,0,0
"20646910010478_ereg_223",0.952,0.397,0.552,0.429,0.361,0.547,0,0,0
"20646952010478_ereg_231",0.629,0.61,0.232,0.528,1.263,0.16,0,0,0
"20646995010478_ereg_231",0.531,0.632,0.656,0.604,0.415,0.191,0,0,0
"20647000010478_ereg_231",0.491,0.822,0.34,0.607,0.403,0.224,0,0,0
"20647018010478_ereg_231",0,0,0,0,0,0,0,0,0
"20647035010478_ereg_M221",0.88,0.975,0.802,0.427,0.172,0.413,0.225,0,0.225
"20647061010478_ereg_M221",0.547,1.014,0.572,0.197,0.794,0.194,0,0,0
"20647077010478_ereg_M221",1.093,0.579,0.514,0.325,0.176,0.513,0.135,0,0.135
"20647095010478_ereg_223",0.135,0.295,0.183,0.199,0.099,0.379,0,0,0
"20647157010478_ereg_231",0.232,0.463,0.616,0.726,0.378,0.893,0.426,0,0.426
"20647197010478_ereg_221",0.529,0.357,0.344,0.175,0.201,0.499,0.283,0,0.283
"20647202010478_ereg_221",0.604,0.667,0.284,0.254,0.268,0.256,0,0,0
"20647281010478_ereg_221",0.743,0.734,0.363,0.446,0.437,0.567,0.103,0,0.103
"20647314010478_ereg_M221",0.611,0.909,0.728,1.031,0.86,0.852,0.492,0,0.492
"20647336010478_ereg_223",0.83,0.702,0.142,1.013,0.222,0.292,0,0,0
"20647434010478_ereg_221",0.645,0.668,0.507,0.194,0.164,0.552,0,0,0
"20647459010478_ereg_221",0.917,0.92,0.605,0.744,0.343,0.673,0.451,0,0.451
"20647486010478_ereg_221",1.151,0.592,0.748,0.42,0.116,0.431,0,0,0
"20647498010478_ereg_221",1.178,0.327,0.711,0.679,0.513,0.643,0,0,0
"20647541010478_ereg_223",0.502,0.585,0.59,0.372,0.762,0.899,0.358,0,0.358
"20647571010478_ereg_223",0.69,0.335,0.469,0.703,0.68,0.625,0,0,0
"20647576010478_ereg_223",0.738,0.553,0.157,0.596,0.721,0.637,0,0,0
"20647581010478_ereg_223",0.646,0.586,0.187,0.244,0.908,0.197,0,0,0
"20647586010478_ereg_223",0.249,0.39,0.292,0.29,0.201,0.237,0,0,0
"20647599010478_ereg_223",0.885,0.563,0.59,0.351,0.408,0.419,0,0,0
"20647620010478_ereg_231",0.927,0.777,0.647,0.482,0.744,0.667,0.131,0,0.131
"20647636010478_ereg_223",0.203,0.51,0.668,0.523,0.854,0.634,0.269,0,0.269
"20647641010478_ereg_223",0.581,1.08,0.651,0.261,0.436,0.768,0,0,0
"20647652010478_ereg_223",0.314,0.433,0.631,0.387,0.4,0.856,0.509,0,0.509
"20647664010478_ereg_223",0.292,0.51,0.411,0.338,0.345,1.209,0,0,0
"20647716010478_ereg_223",0.577,0.47,0.342,0.651,0.556,0.494,0,0,0
"20647942010478_ereg_221",0.64,0.766,0.315,0.342,0.799,0.296,0,0,0
"20647992010478_ereg_231",0.777,0.647,0.247,0.318,0.451,0.486,0,0,0
"20648154010478_ereg_223",0.331,0.182,0.117,0.1,0.286,0.207,0,0,0
"20648208010478_ereg_221",0.972,1.443,0.633,0.7,0.338,0.564,0.376,0,0.376
"20648230010478_ereg_221",1.199,0.663,0.916,0.699,0.309,1.076,0.475,0,0.475
"20648323010478_ereg_221",0.156,0.88,0.461,0.424,0.866,0.391,0,0,0
"20648342010478_ereg_221",0.581,0.417,0.374,0.524,0.419,0.375,0.125,0,0.125
"20648347010478_ereg_221",0.247,0.942,0.439,0.518,0.775,0.335,0.118,0,0.118
"20648358010478_ereg_223",0.702,0.103,0.352,0.131,0.727,0.125,0,0,0
"20648369010478_ereg_221",0.847,0.799,0.525,0.693,0.531,0.596,0.281,0,0.281
"20648392010478_ereg_221",0.952,1.068,0.786,0.544,0.635,0.833,0.475,0,0.475
"20648414010478_ereg_221",0.31,0.431,1.732,0.893,1.131,0.44,0.31,0,0.31
"20648446010478_ereg_231",0.726,1.079,0.478,0.534,0.474,0.378,0,0,0
"20648451010478_ereg_221",1.167,0.657,0.78,0.59,0.492,0.734,0.341,0,0.341
"20648459010478_ereg_221",0.665,0.721,0.375,0.563,0.213,0.696,0.297,0,0.297
"20648464010478_ereg_231",0.901,1.1,0.49,0.887,0.85,0.923,0.463,0,0.463
"20648482010478_ereg_221",1.364,0.622,0.638,0.492,0.365,0.644,0,0,0
"20648494010478_ereg_231",0.623,0.586,0.544,0.355,0.425,0.414,0,0,0
"20648504010478_ereg_231",0.762,0.638,0.893,0.574,0.299,0.722,0.404,0,0.404
"20648531010478_ereg_231",0.699,0.741,0.674,0.216,0.48,0.564,0,0,0
"20648541010478_ereg_231",0.701,0.828,0.489,0.479,0.476,0.225,0,0,0
"20648627010478_ereg_231",0.163,0.211,0.259,0.212,0.332,0.314,0,0,0
"20648664010478_ereg_221",0.169,0.38,0.093,0.313,0.058,0.527,0,0,0
"20648669010478_ereg_221",0.479,0.525,0.26,0.42,0.128,0.615,0.14,0,0.14
"20648904010478_ereg_231",0.976,0.867,0.288,0.306,0.719,0.243,0,0,0
"20648928010478_ereg_223",0.671,0.853,0.5,0.433,0.724,0.612,0,0,0
"20648933010478_ereg_223",0.58,0.645,0.226,0.452,0.651,1.084,0,0,0
"20648978010478_ereg_223",0.628,1.1,0.547,0.343,0.185,0.424,0,0,0
"20648983010478_ereg_223",0.5,0.794,0.093,0.167,0.159,0.369,0,0,0
"20648988010478_ereg_223",0.906,0.959,0.65,0.282,0.279,0.381,0,0,0
"20648993010478_ereg_223",0.786,1.092,0.545,0.198,0.25,0.362,0,0,0
"20648998010478_ereg_223",1.178,0.758,0.684,0.383,0.358,0.769,0,0,0
"20649017010478_ereg_223",0.322,0.369,0.215,0.203,0.2,0.408,0.097,0,0.097
"20649028010478_ereg_223",0.448,0.631,0.3,0.282,0.594,0.435,0.031,0,0.031
"20649038010478_ereg_223",0.341,0.946,0.811,0.404,0.927,0.763,0,0,0
"20649053010478_ereg_223",0.566,0.827,0.345,0.668,0.935,0.334,0,0,0
"20649070010478_ereg_223",0.989,0.736,0.691,0.769,0.532,0.539,0,0,0
"20649075010478_ereg_223",0.606,0.822,0.354,0.485,1.228,0.846,0.203,0,0.203
"20649087010478_ereg_223",0.577,0.706,0.382,0.302,0.63,0.225,0,0,0
"20649142010478_ereg_221",0.719,0.722,0.284,0.388,0.58,0.266,0,0,0
"20649160010478_ereg_221",0.757,0.316,0.733,0.24,0.763,0.756,0,0,0
"20649171010478_ereg_221",1.034,1.024,0.587,0.634,0.919,0.745,0.411,0,0.411
"20649190010478_ereg_M221",0.985,0.599,0.465,0.521,0.208,0.448,0,0,0
"20649195010478_ereg_M221",0.849,0.608,0.521,0.791,0.433,0.874,0.301,0,0.301
"20649206010478_ereg_M221",1.094,1.095,0.722,0.758,0.222,0.829,0.451,0,0.451
"20649212010478_ereg_M221",0.857,0.692,0.567,0.739,0.543,0.95,0.135,0,0.135
"20649230010478_ereg_221",0.494,0.545,0.381,0.298,0.155,0.451,0,0,0
"20649327010478_ereg_234",0.061,0.015,0.005,0.136,0.184,0.173,0,0,0
"20649334010478_ereg_231",0.343,0.398,0.417,0.93,0.276,0.831,0,0,0
"20649364010478_ereg_223",0.355,0.194,0.281,0.595,0.473,0.313,0,0,0
"20649440010478_ereg_231",0.755,0.802,0.83,0.292,0.117,0.382,0,0,0
"20649472010478_ereg_231",0.64,0.951,0.652,0.454,0.802,0.438,0.208,0,0.208
"20649509010478_ereg_231",0.369,0.472,0.425,0.476,0.44,0.27,0,0,0
"20649526010478_ereg_231",0.886,0.935,0.562,0.365,0.364,0.49,0.252,0,0.252
"20649578010478_ereg_223",0.866,0.368,0.516,0.589,0.43,0.468,0,0,0
"20649598010478_ereg_223",0.801,0.397,0.487,0.665,0.51,0.497,0,0,0
"20649613010478_ereg_223",1.018,0.888,0.692,0.439,0.274,0.286,0,0,0
"20649623010478_ereg_223",0.265,0.376,0.224,0.373,0.259,0.426,0,0,0
"20649645010478_ereg_223",0.623,0.969,0.904,0.496,0.748,0.829,0.232,0,0.232
"20649674010478_ereg_223",1.283,1.013,0.974,0.396,0.905,0.862,0,0,0
"20649679010478_ereg_223",0.437,0.546,0.219,0.311,0.152,0.404,0,0,0
"20649706010478_ereg_223",0.746,0.613,0.279,0.567,1.054,0.23,0,0,0
"20649742010478_ereg_223",0.269,0.593,0.686,0.377,0.4,0.951,0.195,0,0.195
"20649768010478_ereg_221",0.467,0.47,0.303,0.631,0.481,0.613,0,0,0
"20649788010478_ereg_221",0.417,0.558,1.112,0.77,0.473,0.907,0.5,0,0.5
"20649822010478_ereg_M221",1.056,0.98,0.864,0.501,0.294,0.616,0,0,0
"20649827010478_ereg_M221",0.959,1.055,0.845,0.452,0.193,0.521,0,0,0
"20649842010478_ereg_M221",0.871,0.845,0.706,0.694,0.332,0.836,0.33,0,0.33
"20649978010478_ereg_231",0.39,0.26,0.391,0.83,0.302,0.726,0,0,0
"20650065010478_ereg_223",0.73,0.405,0.47,0.305,0.191,0.396,0,0,0
"20650085010478_ereg_223",1.072,0.328,0.633,0.649,0.538,0.68,0,0,0
"20650107010478_ereg_223",0.414,0.356,0.26,0.215,0.102,0.283,0,0,0
"20650118010478_ereg_223",0.244,0.363,0.432,0.185,0.195,0.739,0.355,0,0.355
"20650130010478_ereg_223",0.15,0.44,0.433,0.428,0.992,0.403,0.186,0,0.186
"20650135010478_ereg_223",0.376,0.247,0.324,1.024,0.224,0.514,0,0,0
"20650140010478_ereg_223",0.819,0.983,0.52,0.497,0.171,0.304,0,0,0
"20650230010478_ereg_221",0.658,1.205,0.642,0.25,0.141,0.282,0,0,0
"20650253010478_ereg_221",1.034,1.06,0.438,0.718,0.893,0.551,0,0,0
"20650280010478_ereg_231",0.772,0.972,0.328,0.392,0.44,0.259,0.086,0,0.086
"20650312010478_ereg_231",0.379,0.454,0.274,0.512,0.397,0.266,0,0,0
"20650409010478_ereg_231",0.974,1.016,0.852,0.576,0.559,0.855,0.494,0,0.494
"20650486010478_ereg_221",0.432,0.651,0.237,0.654,0.452,0.515,0,0,0
"20650496010478_ereg_223",0.348,0.452,0.584,0.356,0.349,0.76,0.466,0,0.466
"20650526010478_ereg_223",0.589,0.675,0.311,0.325,0.726,0.228,0,0,0
"20650551010478_ereg_223",0.687,0.76,0.503,0.437,0.433,0.599,0.361,0,0.361
"20650599010478_ereg_223",0.352,0.177,0.088,0.08,0.297,0.205,0,0,0
"20650658010478_ereg_M221",0.509,0.752,0.524,0.781,0.629,0.825,0.483,0,0.483
"20650675010478_ereg_M221",0.746,0.723,0.429,0.526,0.381,0.49,0.406,0,0.406
"20650797010478_ereg_223",0.636,0.91,0.527,0.672,1.393,0.347,0.126,0,0.126
"20650814010478_ereg_223",0.488,0.872,0.326,0.788,0.819,0.52,0,0,0
"20650825010478_ereg_M221",0.272,0.835,0.571,0.406,0.724,0.169,0,0,0
"20650837010478_ereg_M221",0.787,0.693,0.472,0.514,0.326,0.401,0,0,0
"20650842010478_ereg_221",0.271,0.368,0.149,0.371,0.278,0.56,0.128,0,0.128
"20650852010478_ereg_221",0.813,0.707,0.585,0.581,1.211,0.244,0,0,0
"20650857010478_ereg_221",0.928,0.786,0.816,0.318,0.132,0.536,0.24,0,0.24
"20650874010478_ereg_221",1.151,0.806,0.868,0.339,0.646,0.467,0.135,0,0.135
"20651029010478_ereg_223",0.997,1.064,0.849,0.509,0.441,0.894,0.493,0,0.493
"20651053010478_ereg_223",0.835,1.117,0.655,0.421,0.265,0.66,0,0,0
"20651058010478_ereg_223",0.492,0.814,0.692,0.383,1.324,1.076,0,0,0
"20651063010478_ereg_M221",0.784,1.295,0.584,0.485,0.255,0.455,0.102,0,0.102
"20651068010478_ereg_M221",0.927,0.854,0.697,0.631,0.224,0.661,0.268,0,0.268
"20651093010478_ereg_M221",0.866,0.977,1.441,0.454,0.217,0.809,0.459,0,0.459
"20651134010478_ereg_223",0.751,0.985,0.795,0.472,0.316,0.563,0,0,0
"20651139010478_ereg_223",1.032,0.701,0.556,0.618,0.353,0.65,0,0,0
"20651144010478_ereg_221",0.842,1.114,0.559,0.364,0.595,0.394,0,0,0
"20651164010478_ereg_223",0.227,0.497,0.551,0.604,1.28,0.543,0,0,0
"20651204010478_ereg_221",0.762,0.713,0.384,0.302,0.21,0.563,0,0,0
"20651209010478_ereg_221",0.946,0.505,0.516,0.236,0.031,0.388,0,0,0
"20651227010478_ereg_221",0.75,0.711,0.442,0.312,0.3,0.363,0,0,0
"20651304010478_ereg_223",0.831,0.792,0.289,0.424,0.537,0.183,0,0,0
"20651384010478_ereg_223",0.403,0.431,0.717,0.853,0.446,0.901,0.494,0,0.494
"20651395010478_ereg_M221",0.923,0.816,0.493,0.671,0.511,0.335,0,0,0
"20651400010478_ereg_M221",0.844,0.96,0.567,0.418,0.161,0.306,0,0,0
"20651410010478_ereg_M221",0.287,0.789,0.591,0.632,0.943,0.423,0,0,0
"20651415010478_ereg_M221",0.616,0.651,0.373,0.469,1.317,0.298,0,0,0
"20651438010478_ereg_M221",0.426,0.601,0.304,0.22,0.098,0.294,0,0,0
"20651450010478_ereg_221",0.879,1.197,0.568,0.466,0.371,0.312,0.169,0,0.169
"20651464010478_ereg_221",0.76,0.807,0.612,0.489,0.284,0.437,0.128,0,0.128
"20651476010478_ereg_M221",0.927,0.391,0.485,0.491,0.414,0.541,0.088,0,0.088
"20651481010478_ereg_221",0.79,0.73,0.579,0.805,0.265,0.659,0.47,0,0.47
"20651523010478_ereg_M221",0.867,1.083,0.74,0.481,0.298,0.446,0.133,0,0.133
"20651528010478_ereg_M221",0.538,0.244,0.136,0.236,0.378,0.534,0.101,0,0.101
"20651552010478_ereg_221",0.984,0.986,0.685,0.727,0.351,0.697,0.484,0,0.484
"20651564010478_ereg_221",0.885,1.134,0.474,0.699,0.178,0.745,0.367,0,0.367
"20651576010478_ereg_231",0.371,0.299,0.331,1.162,0.392,0.39,0,0,0
"20651709010478_ereg_223",0.717,0.75,0.62,0.485,0.702,0.699,0.423,0,0.423
"20651755010478_ereg_223",0.617,0.764,0.252,0.397,0.903,0.412,0,0,0
"20651807010478_ereg_231",0.849,0.85,0.394,0.589,0.573,0.69,0.389,0,0.389
"20651812010478_ereg_231",0.404,0.298,0.403,0.35,0.53,0.392,0,0,0
"20651894010478_ereg_223",0.98,0.658,0.645,0.409,0.126,0.404,0,0,0
"20651912010478_ereg_223",0.442,0.411,0.217,0.79,0.648,1.32,0,0,0
"20651949010478_ereg_223",0,0,0,0,0,0,0,0,0
"20651960010478_ereg_223",0.722,0.828,0.781,0.236,0.335,0.355,0,0,0
"20652094010478_ereg_M221",0.961,0.951,0.687,0.609,0.307,1.257,0.278,0,0.278
"20652112010478_ereg_223",0.859,1.062,0.771,0.555,0.585,0.84,0.5,0,0.5
"20652135010478_ereg_223",0.707,0.847,0.764,0.422,0.316,1.052,0.45,0,0.45
"20652159010478_ereg_231",0.785,0.719,0.444,0.244,0.235,0.41,0,0,0
"20652164010478_ereg_231",0.923,0.677,1.338,0.995,1.104,0.913,0.471,0,0.471
"20652169010478_ereg_231",0.322,0.261,0.226,0.123,0.304,0.358,0,0,0
"20652181010478_ereg_231",0.865,1.003,0.186,0.483,0.79,0.443,0,0,0
"20652203010478_ereg_231",0.722,0.962,1.214,0.404,0.235,0.423,0,0,0
"20652208010478_ereg_231",0.762,0.438,0.463,0.244,0.483,0.325,0,0,0
"20652213010478_ereg_221",0.683,0.757,0.359,0.536,0.322,0.534,0,0,0
"20652263010478_ereg_221",1.126,0.947,0.789,0.624,0.437,0.756,0.428,0,0.428
"20652274010478_ereg_M221",0.563,0.7,0.379,0.448,0.604,0.588,0.205,0,0.205
"20652279010478_ereg_M221",0.871,0.971,0.936,0.61,0.564,0.697,0.499,0,0.499
"20652284010478_ereg_M221",0.845,0.793,0.507,0.48,0.215,0.475,0,0,0
"20652295010478_ereg_221",0.584,0.802,0.526,0.486,1.328,0.493,0,0,0
"20652300010478_ereg_M221",0.884,0.985,0.47,0.674,0.311,0.682,0.351,0,0.351
"20652305010478_ereg_M221",0.669,0.798,0.412,0.401,0.13,0.436,0.118,0,0.118
"20652392010478_ereg_221",1.024,0.925,0.819,0.454,0.224,0.557,0,0,0
"20652431010478_ereg_M221",1.111,0.944,0.706,0.82,0.498,0.589,0.281,0,0.281
"20652506010478_ereg_231",0.954,1.141,0.415,0.571,0.306,0.401,0,0,0
"20652572010478_ereg_231",0.705,0.802,0.673,0.372,0.45,0.562,0.288,0,0.288
"20652577010478_ereg_M221",0.818,0.745,0.585,0.521,0.254,0.53,0.191,0,0.191
"20652582010478_ereg_M221",0.861,0.701,0.649,0.529,0.448,0.336,0.145,0,0.145
"20652602010478_ereg_M221",0.851,0.786,0.538,0.616,0.282,0.695,0.303,0,0.303
"20652639010478_ereg_223",0.68,0.523,0.219,0.457,0.593,0.22,0,0,0
"20652658010478_ereg_231",0.834,0.977,0.643,0.4,0.961,0.445,0,0,0
"20652745010478_ereg_M221",0.606,0.471,0.309,0.702,0.398,0.591,0,0,0
"20652750010478_ereg_M221",0.367,0.533,0.845,0.594,0.734,0.303,0.197,0,0.197
"20652788010478_ereg_M221",0.565,0.635,0.454,0.326,0.246,0.494,0.11,0,0.11
"20652813010478_ereg_221",0.848,0.783,0.503,0.335,0.553,0.566,0.067,0,0.067
"20652824010478_ereg_M221",0.569,0.498,0.236,0.463,0.62,0.514,0,0,0
"20652829010478_ereg_223",0.443,0.506,0.221,0.549,0.83,0.281,0,0,0
"20652834010478_ereg_223",0.752,0.362,0.405,0.526,0.466,0.415,0,0,0
"20652866010478_ereg_223",0.717,0.928,0.369,0.48,0.35,1.014,0,0,0
"20652920010478_ereg_221",0.972,0.562,0.556,0.57,0.507,0.426,0,0,0
"20652925010478_ereg_221",1.047,0.979,0.624,0.476,0.195,0.63,0.209,0,0.209
"20652935010478_ereg_221",0.425,0.378,0.734,0.538,1.053,0.414,0.213,0,0.213
"20652940010478_ereg_221",1.254,0.972,0.94,0.493,0.435,0.642,0,0,0
"20652966010478_ereg_221",0.864,0.753,0.603,0.575,0.397,0.37,0,0,0
"20652988010478_ereg_221",0.902,0.768,0.63,0.802,0.524,0.58,0,0,0
"20653047010478_ereg_223",0.706,0.409,0.277,0.626,0.578,0.597,0,0,0
"20653070010478_ereg_223",1.239,0.855,0.877,0.287,0.311,0.785,0,0,0
"20653075010478_ereg_223",1.368,0.925,0.861,0.354,0.186,0.743,0,0,0
"20653080010478_ereg_231",1.037,1.365,0.576,0.519,0.727,0.611,0,0,0
"20653105010478_ereg_223",0.369,0.392,0.156,0.11,0.237,0.126,0,0,0
"20653138010478_ereg_223",0.727,0.668,0.378,0.672,0.435,0.611,0,0,0
"20653161010478_ereg_223",0.981,0.806,0.903,0.395,0.197,0.992,0.488,0,0.488
"20653172010478_ereg_223",0.721,0.848,0.554,0.712,1.434,0.852,0,0,0
"20653188010478_ereg_223",0.679,0.876,0.449,0.341,0.377,0.41,0,0,0
"20653206010478_ereg_223",0.693,0.617,0.428,0.763,1.429,0.691,0,0,0
"20653253010478_ereg_234",0.256,0.158,0.266,0.62,0.25,0.503,0,0,0
"20653370010478_ereg_221",1.157,0.589,0.722,0.52,0.34,0.515,0,0,0
"20653386010478_ereg_221",0.717,0.741,0.405,0.761,0.559,1.336,0.397,0,0.397
"20653391010478_ereg_221",0.711,0.513,0.479,0.271,0.175,0.397,0,0,0
"20653396010478_ereg_221",0.937,0.853,0.669,0.625,0.366,0.506,0,0,0
"20653415010478_ereg_231",0.674,0.76,0.708,0.392,0.397,0.851,0.493,0,0.493
"20653420010478_ereg_231",0.793,0.981,0.38,0.519,0.705,0.279,0,0,0
"20653437010478_ereg_223",0.629,0.626,0.739,0.3,0.515,0.327,0,0,0
"20653569010478_ereg_223",0.647,0.47,0.527,0.23,0.49,0.781,0,0,0
"20653598010478_ereg_223",0.764,0.891,0.231,0.117,0.432,0.196,0,0,0
"20653617010478_ereg_223",0.707,1.076,0.55,0.634,0.778,0.296,0,0,0
"20653629010478_ereg_221",0.731,0.852,0.736,0.557,0.824,0.787,0.447,0,0.447
"20653673010478_ereg_M221",0.846,1.28,0.655,0.546,0.232,0.564,0.152,0,0.152
"20653684010478_ereg_M221",0.136,0.894,0.58,0.493,1.064,0.29,0,0,0
"20653702010478_ereg_M221",0.696,1.067,0.667,0.429,0.142,0.552,0.244,0,0.244
"20653707010478_ereg_M221",0.789,0.882,0.725,0.787,0.334,0.605,0.184,0,0.184
"20653719010478_ereg_221",1.14,1.302,1.084,0.584,1.18,0.623,0.337,0,0.337
"20653724010478_ereg_M221",0.708,0.759,0.46,0.428,0.493,1.278,0,0,0
"20653747010478_ereg_221",1.14,1.376,0.89,0.452,0.389,0.563,0,0,0
