"gmPerSeed","gmPerCm","maxHt","leafN","leafP","SLA","broaddeciduous","broadevergreen","needleevergreen"
"100184114010661_ereg_222",0.145,-0.064,0.007,-0.232,0.133,-0.329,1,0,0
"100184159010661_ereg_222",-0.187,-0.845,0.847,-0.513,-0.471,-0.365,0.632,0,0.368
"100184178010478_ereg_231",-0.182,-0.283,0.603,-0.066,-0.459,0.278,1,0,0
"100184535010661_ereg_222",-0.045,-0.409,-0.211,0.212,0.907,-0.071,1,0,0
"100184980010478_ereg_231",1.177,0.555,0.824,0.388,-0.363,0.271,0.999,0,0.001
"100185301010661_ereg_212",0.254,-0.324,-0.115,0.031,-0.362,-0.006,0.888,0,0.112
"100185387010661_ereg_212",-0.792,-1.703,1.596,-0.205,-0.312,-0.587,0.342,0,0.658
"100185482010661_ereg_212",-0.188,-0.196,-0.084,-0.193,-0.127,-0.095,0.859,0,0.141
"100185715010661_ereg_212",0.255,0.365,0.55,0.025,0.269,0.331,0.979,0,0.021
"100186311010661_ereg_212",0.089,-0.278,0.524,0.723,1.201,0.706,1,0,0
"100186408010661_ereg_212",-0.764,-0.678,-0.282,0.353,0.175,0.133,1,0,0
"100186496010478_ereg_232",0.147,0.024,-0.179,-0.283,-0.059,-0.104,1,0,0
"100186718010661_ereg_212",-0.557,-0.576,0.596,-0.71,-0.348,-0.364,0.497,0,0.503
"100186828010478_ereg_221",0.517,-0.051,0.437,-0.018,-0.486,0.465,1,0,0
"100186982010661_ereg_212",-0.222,0.145,0.322,-0.155,0.259,0.193,0.895,0,0.105
"100187153010478_ereg_M221",0.964,0.459,0.316,0.342,-0.564,0.584,1,0,0
"100187171010661_ereg_212",-0.195,-0.298,-0.14,-0.276,-0.18,-0.221,0.831,0,0.169
"100187285010478_ereg_M221",-0.156,-1.336,1.425,0.675,-0.77,0.377,1,0,0
"100187391010478_ereg_M221",0.912,0.49,0.646,0.322,-0.631,0.477,0.928,0,0.072
"100187567010661_ereg_212",-0.525,-0.92,-0.177,0.365,-0.006,-0.071,0.838,0,0.162
"100187663010661_ereg_212",-0.869,-0.96,-0.601,-0.236,-0.258,-0.094,0.74,0,0.26
