"gmPerSeed","gmPerCm","maxHt","leafN","leafP","SLA","broaddeciduous","broadevergreen","needleevergreen"
"102562267010661_ereg_212",-1.163,-1.214,-0.523,-1.195,-0.787,-0.591,0.128,0,0.872
"102562285010661_ereg_212",-1.738,-1.544,-0.597,0.916,0.314,0.346,0.947,0,0.053
"102562291010661_ereg_212",-1.473,-1.521,-0.634,0.462,0.078,-0.032,0.787,0,0.213
"102562300010661_ereg_212",-0.006,-0.006,-0.003,-0.006,-0.004,-0.003,0.995,0,0.005
"102562303010661_ereg_212",0.624,0.23,0.531,0.318,0.358,0.288,1,0,0
"102562330010661_ereg_212",-0.419,-0.542,-0.184,-0.128,-0.114,-0.266,0.792,0,0.208
"102562339010661_ereg_212",-0.319,-0.258,0.135,0.271,0.569,0.363,0.931,0,0.069
"102562342010661_ereg_212",-1.415,-1.312,-0.568,0.676,0.203,0.334,1,0,0
"102562348010661_ereg_212",-1.414,-0.539,-0.437,0.385,0.076,0.797,1,0,0
"102562351010661_ereg_212",-1.639,-1.55,-0.617,0.746,0.227,0.19,0.884,0,0.116
"102562363010661_ereg_212",-0.922,-0.705,-0.081,0.542,0.402,0.352,1,0,0
"102562387010661_ereg_212",-1.389,-0.845,-0.491,0.484,0.143,0.565,1,0,0
"102562393010661_ereg_212",-1.098,-0.808,-0.389,0.568,0.188,0.43,0.998,0,0.002
"102562396010661_ereg_212",-1.73,-1.48,-0.588,0.946,0.477,0.319,1,0,0
"102562474010661_ereg_Mb",-0.065,-0.427,-0.224,0.344,1.445,-0.593,0.811,0,0.189
"102562558010661_ereg_212",-0.659,-1.298,1.239,-0.831,-0.754,-0.964,0.153,0,0.847
"102562570010661_ereg_212",-0.635,-0.981,0.547,-0.667,-0.676,-0.615,0.295,0,0.705
"102562573010661_ereg_212",-1.492,-1.358,-0.396,0.362,-0.086,0.012,0.68,0,0.32
"102562588010661_ereg_212",-1.714,-1.339,-0.568,0.894,0.31,0.521,1,0,0
"102562597010661_ereg_Ma",-1.334,-1.393,-0.599,-1.371,-0.903,-0.678,0,0,1
"102562612010661_ereg_212",-1.438,-1.074,-0.476,0.717,0.242,0.469,1,0,0
"102562615010661_ereg_212",-1.141,-1.104,-0.549,0.392,0.062,0.274,1,0,0
"102562627010661_ereg_212",-0.375,-0.405,-0.177,-0.397,-0.261,-0.211,0.711,0,0.289
"102562630010661_ereg_212",0,0,0,0,0,0,1,0,0
"102562636010661_ereg_212",-0.287,-0.299,-0.129,-0.295,-0.194,-0.146,0.785,0,0.215
"102562639010661_ereg_212",-0.862,-0.9,-0.388,-0.886,-0.583,-0.438,0.354,0,0.646
"102562645010661_ereg_212",-0.046,0.007,-0.005,-0.06,0.087,-0.069,1,0,0
"102562651010661_ereg_212",-1.227,-1.569,-0.335,0.87,0.568,0.22,0.878,0,0.122
"102562657010661_ereg_212",-0.188,-0.169,-0.004,0.029,0.033,-0.044,0.965,0,0.035
"102562669010661_ereg_212",-1.334,-1.393,-0.599,-1.371,-0.903,-0.678,0,0,1
"102562675010661_ereg_212",0,0,0,0,0,0,1,0,0
"102562681010661_ereg_212",-0.669,-0.474,-0.235,0.352,0.06,0.406,0.978,0,0.022
"102562693010661_ereg_212",-0.119,-0.372,-0.365,-0.346,-0.27,0.034,1,0,0
"102562696010661_ereg_212",-0.87,-0.342,-0.187,0.108,0.343,0.144,0.919,0,0.081
"102562711010661_ereg_212",0.785,-0.387,0.441,0.797,0.75,0.192,1,0,0
"102562741010661_ereg_Mc",0.998,0.334,0.214,0.536,0.392,0.226,1,0,0
"102562867010661_ereg_212",-1.267,-1.022,-0.152,-0.231,-0.376,-0.125,0.511,0,0.489
"102562870010661_ereg_212",-1.429,-1.179,-0.577,0.279,-0.012,0.196,0.803,0,0.197
"102562876010661_ereg_212",-1.472,-1.383,-0.451,0.353,-0.074,0.002,0.697,0,0.303
"102562879010661_ereg_212",-1.029,-0.803,-0.177,0.502,0.409,0.001,1,0,0
"102562897010661_ereg_Ma",-1.769,-1.603,-0.604,1.003,0.362,0.366,0.975,0,0.025
"102562906010661_ereg_212",-1.524,-1.554,-0.596,0.47,0.053,-0.057,0.743,0,0.257
"102562924010661_ereg_212",-0.259,-0.271,-0.117,-0.266,-0.175,-0.131,0.806,0,0.194
"102562933010661_ereg_212",0.523,-0.483,0.374,0.683,0.669,0.392,1,0,0
"102562936010661_ereg_212",-1.652,-1.475,-0.55,0.979,0.364,0.384,1,0,0
"102562939010661_ereg_212",0.474,-0.708,0.601,0.999,1.156,0.513,1,0,0
"102562945010661_ereg_212",-0.59,-0.659,-0.12,0.271,0.399,0.152,0.927,0,0.073
"102562948010661_ereg_212",-1.334,-1.393,-0.599,-1.371,-0.903,-0.678,0,0,1
"102562954010661_ereg_212",-0.042,-0.026,-0.015,-0.021,-0.016,0.001,0.982,0,0.018
"102562966010661_ereg_212",-0.013,0.001,0,-0.022,0.034,-0.031,1,0,0
"102562975010661_ereg_212",-0.009,0.001,0.008,-0.011,0.013,0.002,1,0,0
"102563008010661_ereg_212",-0.026,-0.013,0.006,0.006,0.022,-0.015,1,0,0
"102563107010661_ereg_251",0,0,0,0,0,0,1,0,0
"102563152010661_ereg_Ma",0,0,0,0,0,0,0,0,0
"102563158010661_ereg_212",-1.058,-0.976,-0.222,0.389,0.134,0.06,0.886,0,0.114
"102563173010661_ereg_212",-0.079,-0.098,-0.05,-0.091,-0.061,-0.069,0.932,0,0.068
"102563176010661_ereg_Ma",-0.121,-0.224,-0.114,-0.207,-0.136,-0.213,0.849,0,0.151
"102563179010661_ereg_Ma",-0.552,-0.577,-0.248,-0.568,-0.374,-0.281,0.586,0,0.414
"102563188010661_ereg_Ma",-0.332,-0.1,-0.098,0.064,0.002,0.17,0.978,0,0.022
"102563191010661_ereg_Ma",-1.206,-1.26,-0.542,-1.24,-0.816,-0.613,0.096,0,0.904
"102563194010661_ereg_Ma",-0.999,-0.838,-0.332,0.437,0.137,0.188,0.939,0,0.061
"102563200010661_ereg_Ma",-1.074,-1.126,-0.317,0.341,0.121,-0.002,0.827,0,0.173
"102563203010661_ereg_212",-0.017,-0.038,-0.02,-0.035,-0.023,-0.04,0.975,0,0.025
"102563221010661_ereg_212",-0.108,-0.113,-0.049,-0.111,-0.073,-0.055,0.919,0,0.081
"102563227010661_ereg_212",-1.327,-1.173,-0.441,0.781,0.289,0.315,1,0,0
"102563254010661_ereg_212",-0.226,-0.239,-0.097,-0.221,-0.133,-0.136,0.836,0,0.164
"102563266010661_ereg_212",0.406,-0.355,0.282,0.65,0.54,0.466,1,0,0
"102563293010661_ereg_212",-0.498,-0.823,0.099,0.766,0.818,0.306,1,0,0
"102563485010661_ereg_Ma",-0.022,0,-0.005,0.005,0.001,0.016,1,0,0
"102563494010661_ereg_Ma",-1.171,-1.176,-0.516,-1.147,-0.76,-0.537,0.157,0,0.843
"102563497010661_ereg_Ma",-0.963,-1.006,-0.433,-0.99,-0.652,-0.489,0.278,0,0.722
"102563503010661_ereg_Ma",-0.314,-0.39,-0.183,-0.372,-0.245,-0.259,0.727,0,0.273
"102563509010661_ereg_Ma",-0.308,-0.669,-0.01,0.879,0.479,0.033,1,0,0
"102563692010661_ereg_Ma",-1.203,-1.256,-0.541,-1.236,-0.814,-0.611,0.098,0,0.902
"102563701010661_ereg_Ma",-0.042,-0.01,-0.014,0,-0.004,0.019,0.994,0,0.006
"102563710010661_ereg_Mb",-1.302,-1.36,-0.585,-1.339,-0.881,-0.662,0.024,0,0.976
"102563713010661_ereg_Mb",-0.411,-0.429,-0.185,-0.422,-0.278,-0.209,0.692,0,0.308
"102563722010661_ereg_Mb",-0.321,-0.339,-0.146,-0.333,-0.219,-0.169,0.757,0,0.243
"102563731010661_ereg_212",-0.558,-0.779,-0.113,0.858,0.431,0.07,1,0,0
"102563740010661_ereg_212",-0.872,-1.167,-0.565,-0.83,-0.578,-0.776,0.31,0,0.69
"102563752010661_ereg_212",0,0,0,0,0,0,1,0,0
"102563758010661_ereg_212",-0.583,-0.613,-0.001,-0.477,-0.26,-0.468,0.604,0,0.396
"102563761010661_ereg_212",-0.159,-0.166,-0.072,-0.164,-0.108,-0.081,0.881,0,0.119
"102563767010661_ereg_212",0.21,-0.077,0.042,0.063,0.01,0.094,0.897,0,0.103
"102563773010661_ereg_212",-0.164,-0.18,-0.079,-0.176,-0.116,-0.096,0.872,0,0.128
"102563779010661_ereg_212",-0.06,-0.006,0.005,-0.068,0.124,-0.112,1,0,0
"102563791010661_ereg_212",1.069,0.23,0.449,0.64,0.41,-0.312,1,0,0
"102563857010661_ereg_Ma",0.108,-0.012,0.608,0.474,0.881,0.587,1,0,0
"102563860010661_ereg_Ma",-0.053,-0.735,0.358,0.689,1.208,0.035,1,0,0
"102564004010661_ereg_Mb",-1.286,-1.343,-0.578,-1.322,-0.87,-0.653,0.036,0,0.964
"102564010010661_ereg_Mb",-0.042,-0.095,-0.05,-0.087,-0.057,-0.101,0.937,0,0.063
"102564013010661_ereg_Mb",-1.517,-1.355,-0.506,0.899,0.334,0.352,1,0,0
"102564016010661_ereg_Mb",-0.027,-0.061,-0.032,-0.056,-0.036,-0.065,0.959,0,0.041
"102564019010661_ereg_Mb",-0.195,-0.204,-0.088,-0.201,-0.132,-0.099,0.854,0,0.146
"102564022010661_ereg_Mb",-0.048,-0.05,-0.021,-0.049,-0.032,-0.024,0.964,0,0.036
"102564025010661_ereg_Mb",0,0,0,0,0,0,1,0,0
"102564034010661_ereg_Mb",-1.334,-1.393,-0.599,-1.371,-0.903,-0.678,0,0,1
"102564037010661_ereg_Mb",0,0,0,0,0,0,1,0,0
"102564040010661_ereg_Mb",-0.343,-0.358,-0.154,-0.353,-0.232,-0.174,0.743,0,0.257
"102564043010661_ereg_Mb",-0.065,-0.068,-0.029,-0.067,-0.044,-0.033,0.951,0,0.049
"102564067010661_ereg_212",-1.266,-1.52,-0.272,1.138,0.733,0.451,1,0,0
"102564073010661_ereg_212",-0.611,-0.638,-0.275,-0.628,-0.414,-0.311,0.542,0,0.458
"102564076010661_ereg_212",-1.618,-1.517,-0.573,0.874,0.304,0.262,0.937,0,0.063
"102564088010661_ereg_212",-1.336,-1.234,-0.378,0.86,0.461,0.34,1,0,0
"102564091010661_ereg_212",0.531,0.143,0.259,0.355,0.419,-0.239,1,0,0
"102564094010661_ereg_212",-0.866,-1.165,-0.317,0.733,0.35,0.245,0.924,0,0.076
"102564163010661_ereg_Ma",-0.772,-0.485,-0.309,0.643,0.396,0.764,1,0,0
"102564331010661_ereg_Mb",-1.225,-1.28,-0.551,-1.26,-0.829,-0.623,0.081,0,0.919
"102564343010661_ereg_Mb",-0.893,-0.895,-0.393,-0.872,-0.578,-0.407,0.358,0,0.642
"102564358010661_ereg_Mb",-0.163,-0.171,-0.074,-0.168,-0.11,-0.084,0.878,0,0.122
"102564361010661_ereg_Mb",0.009,-0.373,0.183,0.326,0.58,0.065,1,0,0
"102564376010661_ereg_212",-0.863,-0.781,-0.281,0.522,0.206,0.202,1,0,0
"102564391010661_ereg_212",-0.413,-1.097,1.327,-0.555,-0.597,-0.424,0.429,0,0.571
"102564394010661_ereg_212",0.288,-0.229,0.339,0.55,0.736,0.103,1,0,0
"102564400010661_ereg_212",-1.131,-1.078,-0.394,0.767,0.348,0.231,1,0,0
"102564403010661_ereg_212",-1.302,-1.159,-0.442,0.647,0.249,0.342,1,0,0
"102564622010661_ereg_Mb",-1.793,-1.584,-0.596,1.055,0.39,0.426,1,0,0
"102564628010661_ereg_Mb",-0.034,-0.036,-0.015,-0.035,-0.023,-0.017,0.974,0,0.026
"102564634010661_ereg_Mb",-0.294,-0.307,-0.132,-0.303,-0.199,-0.15,0.779,0,0.221
"102564640010661_ereg_Mb",-1.334,-1.393,-0.599,-1.371,-0.903,-0.678,0,0,1
"102564670010661_ereg_212",-0.699,-0.855,-0.201,-0.492,-0.558,-0.783,0.45,0,0.55
"102564673010661_ereg_212",-0.156,-0.39,0.179,0.225,0.515,0.251,0.874,0,0.126
"102564694010661_ereg_212",-1.23,-0.904,-0.449,0.728,0.406,0.495,1,0,0
"102564703010661_ereg_212",0.29,-0.133,0.142,0.565,0.317,0.212,1,0,0
"102564712010661_ereg_212",-0.134,-0.267,-0.135,0.176,0.002,0.101,0.898,0,0.102
"102564718010661_ereg_212",-1.311,-0.807,-0.335,0.319,0.14,0.205,0.832,0,0.168
"102564721010661_ereg_212",-1.024,-1.118,-0.223,0.147,-0.151,-0.383,0.605,0,0.395
"102564736010661_ereg_212",-1.739,-0.038,-0.403,0.369,0.047,1.321,1,0,0
"102564790010661_ereg_251",0.305,0.455,0.748,0.228,0.61,0.292,1,0,0
"102564853010661_ereg_251",0,0,0,0,0,0,1,0,0
"102564955010661_ereg_Mb",-1.633,-1.479,-0.558,0.928,0.336,0.339,0.977,0,0.023
"102564970010661_ereg_Mb",0,0,0,0,0,0,1,0,0
"102565000010661_ereg_212",-0.017,-0.018,-0.008,-0.017,-0.011,-0.009,0.987,0,0.013
"102565009010661_ereg_212",0.032,0.063,0.581,0.394,0.681,0.436,1,0,0
"102565012010661_ereg_212",-0.97,-1.393,0.962,-0.143,-0.281,-0.428,0.456,0,0.544
"102565171010661_ereg_Mb",-0.792,-0.852,-0.49,-0.637,-0.458,-0.553,0.46,0,0.54
"102565186010661_ereg_Mb",-0.675,-0.657,0.084,-0.181,-0.095,-0.274,0.724,0,0.276
"102565189010661_ereg_Mb",-1.707,-1.522,-0.566,1.009,0.378,0.392,1,0,0
"102565198010661_ereg_Mb",-0.793,-0.708,-0.264,0.47,0.174,0.184,1,0,0
"102565207010661_ereg_Mb",-0.047,-0.049,-0.021,-0.048,-0.032,-0.024,0.965,0,0.035
"102565219010661_ereg_Mb",-1.454,-1.297,-0.485,0.856,0.325,0.332,1,0,0
"102565285010661_ereg_212",-0.984,-1.282,-0.103,1.05,0.807,0.279,1,0,0
"102565291010661_ereg_Ma",1.037,0.452,0.523,0.363,0.262,-0.017,1,0,0
"102565300010661_ereg_Ma",-0.373,-0.572,-0.073,0.763,0.662,0.686,1,0,0
"102565450010661_ereg_Mb",0,0,0,0,0,0,1,0,0
"102565465010661_ereg_222",-1.025,-0.916,-0.334,0.597,0.283,0.19,1,0,0
"102565468010661_ereg_222",-0.711,-0.635,-0.237,0.421,0.156,0.165,1,0,0
"102565690010661_ereg_222",-1.131,-1.199,-0.336,1.021,0.443,0.233,1,0,0
"102565807010661_ereg_222",-1.798,-1.605,-0.599,1.065,0.395,0.417,1,0,0
"102565825010661_ereg_222",1.224,0.235,0.594,0.865,0.614,-0.415,1,0,0
"102566047010661_ereg_222",0.174,0.651,0.116,0.555,0.268,0.377,1,0,0
"102566068010661_ereg_212",-1.289,-0.409,-0.446,-0.036,-0.155,0.484,0.78,0,0.22
"102566071010661_ereg_212",-1.697,-1.527,-0.588,0.969,0.348,0.395,1,0,0
"102566083010661_ereg_212",-0.515,-0.661,-0.266,-0.16,-0.05,-0.052,0.809,0,0.191
"102566086010661_ereg_212",-0.875,-1.037,-0.321,0.551,0.306,0.292,1,0,0
"102566098010661_ereg_212",-1.259,-1.105,-0.607,-0.04,-0.181,-0.071,0.677,0,0.323
"102566101010661_ereg_212",-1.243,-1.298,-0.559,-1.278,-0.841,-0.631,0.068,0,0.932
"102566128010661_ereg_Mc",-1.173,-0.211,-0.423,0.044,-0.097,0.813,1,0,0
"102566146010661_ereg_212",0.627,0.222,0.338,0.216,0.505,-0.442,1,0,0
"102566155010661_ereg_212",-1.461,-1.183,-0.58,0.259,-0.022,0.121,0.756,0,0.244
"102566185010661_ereg_Ma",-1.225,-0.873,-0.579,-0.159,-0.24,0.048,0.678,0,0.322
"102566221010661_ereg_251",-0.007,-0.841,-0.172,0.468,0.804,-0.557,0.576,0,0.424
"102566236010661_ereg_212",-1.05,0.042,-0.25,0.24,0.366,0.825,1,0,0
"102566254010661_ereg_Mb",-0.999,-0.329,-0.297,-0.161,-0.185,0.378,0.775,0,0.225
"102566269010661_ereg_Mb",-0.028,-0.004,-0.007,0.002,-0.002,0.017,0.998,0,0.002
"102566272010661_ereg_212",-0.412,-0.476,-0.233,-0.34,-0.171,-0.411,0.717,0,0.283
"102566290010661_ereg_Mb",-0.085,-0.135,-0.067,-0.127,-0.083,-0.116,0.907,0,0.093
"102566302010661_ereg_Mb",-0.044,-0.018,-0.014,-0.011,-0.01,0.013,0.988,0,0.012
"102566353010661_ereg_222",-1.509,-1.43,-0.485,1.046,0.416,0.338,1,0,0
"102566389010661_ereg_212",-0.036,-0.036,-0.023,-0.028,-0.021,-0.023,0.976,0,0.024
"102566395010661_ereg_212",-1.117,-1.133,-0.504,-1.1,-0.73,-0.534,0.189,0,0.811
"102566404010661_ereg_212",-1.412,-1.05,-0.312,0.798,0.442,0.424,1,0,0
"102566410010661_ereg_212",-0.762,-1.076,0.461,-0.524,-0.432,-0.497,0.436,0,0.564
"102566413010661_ereg_212",-0.89,-0.776,-0.272,0.507,0.227,0.166,1,0,0
"102566452010661_ereg_212",-0.988,-1.045,-0.413,0.496,0.254,-0.023,0.909,0,0.091
"102566488010661_ereg_Ma",0.143,0.09,0.379,0.192,0.388,0.15,1,0,0
"102566536010661_ereg_212",0.005,-0.328,-0.067,0.736,0.463,-0.077,1,0,0
"102566542010661_ereg_212",-0.527,-0.11,0,-0.093,0.124,0.112,0.848,0,0.152
"102566548010661_ereg_212",-1.355,-0.542,-0.314,-0.073,-0.148,0.368,0.732,0,0.268
"102566554010661_ereg_212",-0.865,-0.754,-0.135,0.161,0.16,-0.008,0.79,0,0.21
"102566581010661_ereg_212",-0.566,-1.377,-0.149,-0.49,-0.269,-0.783,0.381,0,0.619
"102566584010661_ereg_212",-1.302,-1.36,-0.585,-1.339,-0.881,-0.662,0.024,0,0.976
"102566593010661_ereg_212",0,0,0,0,0,0,1,0,0
"102566611010661_ereg_212",-0.017,-0.04,-0.021,-0.036,-0.024,-0.043,0.973,0,0.027
"102566620010661_ereg_212",0.896,0.288,0.47,0.631,0.516,-0.262,1,0,0
"102566650010661_ereg_212",-0.084,-0.149,-0.075,-0.139,-0.091,-0.139,0.899,0,0.101
"102566662010661_ereg_Ma",-0.204,-0.213,-0.092,-0.21,-0.138,-0.104,0.847,0,0.153
"102566698010661_ereg_212",-0.238,-0.334,-0.069,-0.3,-0.177,-0.314,0.772,0,0.228
"102566707010661_ereg_212",-0.692,-0.802,-0.07,-0.441,-0.5,-0.649,0.426,0,0.574
"102566719010661_ereg_Mb",0,0,0,0,0,0,1,0,0
"102566764010661_ereg_212",-0.433,-0.692,-0.036,0.839,0.493,-0.017,0.974,0,0.026
"102566770010661_ereg_212",0.622,0.204,-0.035,0.279,-0.275,0.377,1,0,0
"102566866010661_ereg_212",0.024,-1.218,0.486,1.351,1.445,0.44,1,0,0
"102566884010661_ereg_212",-0.399,-0.428,0.637,0.272,0.436,0.398,0.844,0,0.156
"102905251010661_ereg_222",-0.086,-0.043,0.02,0.02,0.073,-0.05,1,0,0
"104967953010661_ereg_212",-1.257,-1.179,-0.541,0.523,0.152,0.283,1,0,0
"104968163010661_ereg_212",0.008,-0.708,1.171,-0.288,-0.417,-0.333,0.584,0,0.416
"104968376010661_ereg_212",-1.093,-1.274,0.355,-0.834,-0.297,-1.091,0.257,0,0.743
"104969258010661_ereg_212",-0.317,-0.393,0.139,-0.273,-0.219,-0.121,0.774,0,0.226
"104969261010661_ereg_212",-0.115,-0.105,-0.048,-0.1,-0.068,-0.04,0.925,0,0.075
"104969267010661_ereg_212",-0.237,-0.284,-0.129,-0.275,-0.181,-0.178,0.799,0,0.201
"104969375010661_ereg_212",0.26,-0.155,-0.208,0.054,-0.246,0.122,1,0,0
"104969390010661_ereg_212",0.977,0.329,0.368,-0.159,-0.489,-0.207,0.832,0,0.168
"104969399010661_ereg_212",0.037,-0.264,-0.153,-0.269,-0.406,0.022,0.884,0,0.116
"104969408010661_ereg_212",-1.704,-1.475,-0.583,0.902,0.691,0.09,0.998,0,0.002
"104969417010661_ereg_212",-0.01,-0.016,-0.016,-0.016,-0.012,0.003,1,0,0
"104969492010661_ereg_212",-0.739,-0.651,0.204,-0.776,-0.701,-0.696,0.339,0,0.661
"104969498010661_ereg_212",-0.967,-0.596,-0.144,-0.422,-0.28,-0.153,0.595,0,0.405
"104969501010661_ereg_212",-0.623,-0.783,-0.007,-1.375,-1.048,-1.651,0.001,0,0.999
"104969507010661_ereg_212",-0.861,-0.994,-0.591,-0.285,-0.297,-0.207,0.727,0,0.273
"104969540010661_ereg_212",0.148,0.384,0.586,0.26,0.637,0.704,1,0,0
"104969543010661_ereg_212",0.311,-0.11,0.607,0.623,0.758,0.824,1,0,0
"104969549010661_ereg_212",0.27,0.165,0.206,-0.001,0.036,0.233,1,0,0
"104969570010661_ereg_212",1.06,0.227,0.108,0.065,-0.495,0.143,0.975,0,0.025
"104969573010661_ereg_212",0.984,0.329,0.354,0.287,0.161,0.008,1,0,0
"104969615010661_ereg_212",-1.065,-1.164,-0.402,-0.133,-0.176,-0.282,0.649,0,0.351
"104969876010661_ereg_212",0.09,0.508,0.715,0,0.482,0.319,0.972,0,0.028
"104969885010661_ereg_212",-0.659,-0.83,0.02,-0.751,-0.529,-0.423,0.545,0,0.455
"104969888010661_ereg_212",-0.968,-0.96,0.923,-0.377,-0.45,-0.043,0.478,0,0.522
"104969894010661_ereg_212",-1.018,-1.053,-0.367,0.047,-0.08,0.023,0.87,0,0.13
"104969897010661_ereg_212",-0.627,-1.379,0.115,-0.855,-0.641,-0.972,0.29,0,0.71
"104969915010661_ereg_212",-0.735,-0.687,0.398,-0.67,-0.394,-0.236,0.484,0,0.516
"104969927010661_ereg_212",-0.634,-0.385,0.273,-0.09,0.042,0.278,0.773,0,0.227
"104970251010661_ereg_212",-0.423,-0.921,0.431,-0.72,-0.781,-0.889,0.266,0,0.734
"104970260010661_ereg_212",-0.444,-1.604,2.236,-0.771,-0.712,-0.953,0.108,0,0.892
"104970266010661_ereg_212",0.128,0.32,0.689,0.231,0.818,0.32,1,0,0
"104970290010661_ereg_212",-0.138,-0.025,0.095,-0.181,0.185,0.261,0.954,0,0.046
"104970293010661_ereg_212",0.075,0.144,0.75,0.243,0.706,0.396,0.957,0,0.043
"104970311010661_ereg_212",-0.087,0.279,0.452,-0.016,0.358,0.32,0.994,0,0.006
"104970356010661_ereg_212",-1.467,-1.423,-0.351,0.438,0.128,-0.039,0.78,0,0.22
"104970359010661_ereg_212",-1.276,-1.549,-0.68,-0.039,-0.184,-0.502,0.55,0,0.45
"104970371010661_ereg_212",-0.408,-0.163,0.192,0.308,0.412,0.338,1,0,0
"104970398010661_ereg_212",-0.381,-0.242,0.496,-0.421,0.094,-0.152,0.691,0,0.309
"104970407010661_ereg_212",-0.267,-0.06,-0.126,-0.059,0.039,0.141,0.966,0,0.034
"104970416010661_ereg_212",-0.143,0.164,0.19,-0.116,0.243,0.359,0.971,0,0.029
"104970614010661_ereg_212",0.137,0.184,0.78,0.319,0.79,0.399,1,0,0
"104970677010661_ereg_212",-0.21,0.081,0.751,-0.309,0.153,0.109,0.739,0,0.261
"104970734010661_ereg_212",-0.305,-0.758,-0.043,-0.298,0.31,-0.4,0.736,0,0.264
"104970791010661_ereg_212",0.963,0.348,0.241,0.124,-0.349,0.214,1,0,0
"104970800010661_ereg_212",0.836,0.086,-0.158,-0.043,-0.512,0.149,1,0,0
"104970914010661_ereg_212",-0.034,0.059,0.516,0.011,0.652,0.066,0.9,0,0.1
"104970983010661_ereg_212",-1.474,-1.599,-0.039,0.393,0.047,-0.094,0.698,0,0.302
"104970989010661_ereg_212",-1.069,-0.93,0.729,-0.943,-0.487,-0.541,0.241,0,0.759
"104971217010661_ereg_212",-1.62,-1.58,-0.628,0.685,0.194,0.11,0.846,0,0.154
"104972012010661_ereg_212",-0.075,-0.649,0.483,-0.663,-0.778,-0.715,0.351,0,0.649
"104972153010661_ereg_212",-0.114,-0.116,-0.007,-0.104,0.364,-0.226,0.972,0,0.028
"104972162010661_ereg_212",-0.925,-1.128,-0.006,-0.928,-1.048,-0.93,0.003,0,0.997
"104973212010661_ereg_212",1.344,0.647,0.457,0.344,-0.326,0.438,1,0,0
"104973272010661_ereg_212",-0.652,-0.856,-0.523,-0.666,-0.473,-0.336,0.632,0,0.368
"104973281010661_ereg_212",-0.232,0.079,-0.181,0.159,-0.036,1.281,0.935,0,0.065
"104973365010661_ereg_212",1.013,0.404,0.362,0.087,-0.335,0.15,0.989,0,0.011
"104973422010661_ereg_212",-0.073,-0.081,-0.036,-0.079,-0.052,-0.044,0.942,0,0.058
"104973536010661_ereg_212",0.226,-0.558,-0.007,1.107,2.848,-0.296,1,0,0
"104973668010661_ereg_212",-0.092,-0.132,-0.076,-0.125,-0.085,-0.086,0.922,0,0.078
"104973704010661_ereg_212",-0.82,-1.361,-0.376,-1.258,-0.788,-1.215,0.1,0,0.9
"104973707010661_ereg_212",-1.238,-1.09,-0.052,0.109,0.038,-0.07,0.731,0,0.269
"104973749010661_ereg_212",-0.08,-0.11,-0.075,-0.099,-0.07,-0.065,0.943,0,0.057
"104974088010661_ereg_212",-0.483,-0.128,-0.011,-0.179,0.067,0.165,0.879,0,0.121
"104974094010661_ereg_212",0.82,0.038,-0.035,-0.217,-0.666,-0.254,0.775,0,0.225
"104974097010661_ereg_212",0.096,0.507,0.715,0.01,0.476,0.327,1,0,0
"104974100010661_ereg_212",-1.66,-1.507,-0.583,0.952,0.37,0.384,1,0,0
"104974145010661_ereg_212",-0.372,-0.664,0.334,0.537,0.785,0.254,0.913,0,0.087
"104974160010661_ereg_212",-0.658,-0.307,-0.371,-0.12,0.018,0.395,0.997,0,0.003
"104974211010661_ereg_212",0.302,-0.424,0.482,0.767,0.871,0.518,1,0,0
"104974232010661_ereg_212",-0.196,0.338,0.353,0.243,0.9,0.289,0.999,0,0.001
"104974235010661_ereg_212",0.034,0.472,0.659,0.002,0.467,0.328,0.985,0,0.015
"104974250010661_ereg_212",-0.555,-0.591,0.176,-0.566,-0.205,-0.22,0.566,0,0.434
"104974451010661_ereg_212",-0.975,-1.163,-0.07,-0.945,-1.013,-0.903,0.013,0,0.987
"104974571010661_ereg_212",-1.528,-1.41,-0.556,0.796,0.273,0.276,0.939,0,0.061
"104974724010661_ereg_212",1.19,0.449,0.3,0.195,-0.383,0.214,1,0,0
"104974754010661_ereg_212",-0.231,-0.509,0.011,-0.3,-0.444,0.432,0.747,0,0.253
"104974757010661_ereg_212",-0.769,-1.06,-0.018,-0.242,-0.197,-0.225,0.7,0,0.3
"104974766010661_ereg_212",-0.322,-1.229,1.132,-0.5,0.059,-0.873,0.326,0,0.674
"104974799010661_ereg_212",-0.132,0.007,0.479,0.174,0.581,0.406,0.961,0,0.039
"104974922010661_ereg_212",-1.027,-0.942,-0.37,0.582,0.239,0.236,1,0,0
"115422628010478_ereg_232",0,0,0,0,0,0,1,0,0
"115422710010478_ereg_232",0.035,0.123,0.048,-0.201,-0.024,-0.157,1,0,0
"118122546010661_ereg_222",0.382,-0.019,0.078,1.091,0.636,0.134,1,0,0
"121292865010478_ereg_M231",0.672,0.574,0.518,-0.232,-0.453,-0.219,0.815,0,0.185
"121293040010478_ereg_234",0.425,0.489,0.165,0.038,-0.148,-0.123,1,0,0
"121293217010478_ereg_234",-0.002,0,0,-0.001,0.004,-0.003,1,0,0
"121293531010478_ereg_M231",-0.44,-0.117,1.668,-1.139,-0.836,-0.8,0.239,0,0.761
"121294420010478_ereg_234",-0.247,-0.193,0.546,-0.431,-0.442,-0.338,0.686,0,0.314
"121294613010478_ereg_234",0.321,0.358,0.264,-0.016,-0.106,-0.078,1,0,0
"121294773010478_ereg_M231",0.894,0.524,0.764,-0.155,-0.57,-0.209,0.709,0,0.291
