"temp","prec","therm","deficit","moisture"
"102554145010661_ereg_222",-4.777,841.668,650.714,1823.428,-0.019
"102554169010661_ereg_222",-3.37,874.148,619.649,1623.792,-0.056
"102554175010661_ereg_222",1.615,862.989,711.787,1519.282,0
"102554181010661_ereg_212",-7.39,888.932,99.161,1779.9,0.317
"102554199010661_ereg_212",-4.008,807.023,0,2051.765,0.437
"102554211010661_ereg_212",-8.18,808.418,350.266,1746.089,0.861
"102554235010661_ereg_212",-1.75,807.635,499.558,1550.208,-0.067
"102554238010661_ereg_212",-6.88,810.148,459.244,1635.178,0.243
"102554241010661_ereg_212",-0.932,807.338,460.732,1608.136,1
"102554256010661_ereg_212",-6.245,785.345,228.276,1967.056,0.987
"102554274010661_ereg_222",-2.828,820.538,602.807,1592.676,-0.139
"102554286010661_ereg_222",-0.925,851.627,408.391,1846.499,-0.045
"102554301010661_ereg_222",-4.135,842.985,612.752,1687.738,-0.035
"102554304010661_ereg_222",-4.643,837.446,683.643,2038.252,0.68
"102554307010661_ereg_222",-4.857,869.07,618.884,1568.598,-0.525
"102554325010661_ereg_212",-6.95,789.09,679.983,1538.228,0.421
"102554337010661_ereg_212",-4.945,850.228,522.715,1364.169,0.019
"102554340010661_ereg_212",-5.055,820.665,409.405,1563.252,0.456
"102554343010661_ereg_212",-9.102,835.505,391.397,1537.013,1
"102554349010661_ereg_212",-7.475,827.178,425.81,1661.943,0.051
"102554352010661_ereg_212",-4.312,829.157,420.934,1609.672,0.085
"102554358010661_ereg_212",-3.308,818.841,472.076,1601.767,0.539
"102554370010661_ereg_212",-6.498,826.172,439.412,1570.574,0
"102554373010661_ereg_212",-6.905,819.805,409.958,1758.621,1
"102554403010661_ereg_222",-5.893,806.756,240.206,2033.954,0.792
"102554439010661_ereg_222",-4.943,847.39,615.911,1650.125,0
"102554445010661_ereg_222",-3.832,844.592,879.768,1406.798,0
"102554448010661_ereg_212",-6.027,817.204,462.607,1096.894,0.008
"102554457010661_ereg_212",-3.938,781.26,141.056,2000.021,-0.285
"102554460010661_ereg_212",-7.938,830.505,475.622,1675.212,0
"102554463010661_ereg_212",-4.102,852.506,116.821,1804.868,0.496
"102554469010661_ereg_212",-9.865,834.161,472.47,1268.087,0.019
"102554535010661_ereg_222",-5.155,841.863,840.623,1404.823,-1
"102554538010661_ereg_212",-1.745,806.486,325.817,1358.953,0
"102554550010661_ereg_212",-4.067,857.298,103.401,1867.094,0
"102554556010661_ereg_212",-4.758,856.027,156.234,1859.838,-0.48
"102554562010661_ereg_212",-4.067,848.935,140.968,2105.74,-1
"102554565010661_ereg_212",-2.475,824.925,154.031,1869.554,-0.491
"102554571010661_ereg_212",-5.412,843.348,100.68,1764.602,0.605
"102554574010661_ereg_212",-6.947,850.937,398.455,1568.296,-0.112
"102554580010661_ereg_212",-4.383,834.93,131.988,1876.548,-0.957
"102554622010661_ereg_212",-6.343,809.466,497.669,1870.802,0
"102554694010661_ereg_212",-4.665,839.661,164.945,1953.7,0.421
"102554724010661_ereg_212",-8.07,803.817,485.39,1782.441,0.851
"102554727010661_ereg_212",-8.38,820.347,422.376,1905.467,0.499
"102554745010661_ereg_212",-7.357,819.143,441.985,1717.398,0
"102554757010661_ereg_212",-6.218,836.421,480.198,1699.862,-0.203
"102554763010661_ereg_212",-6.505,825.066,497.723,1894.182,-0.787
"102554772010661_ereg_Md",-4.982,803.505,501.064,1825.101,-0.021
"102554775010661_ereg_222",-5.212,814.393,828.213,1395.763,-0.032
"102554799010661_ereg_222",-5.785,813.283,869.062,1383.132,-0.077
"102554844010661_ereg_212",-7.383,787.348,464.732,1799.934,1
"102554865010661_ereg_212",-6.718,808.771,448.98,1695.966,0.147
"102554868010661_ereg_212",-6.25,808.808,443.146,1678.649,-0.275
"102554880010661_ereg_212",-5.672,799.688,506.398,1854.732,-0.381
"102554925010661_ereg_212",-6.42,838.633,396.546,1657.995,0.909
"102554940010661_ereg_212",-3.035,769.421,466.736,1831.86,0.52
"102554943010661_ereg_212",-5.822,771.749,469.637,1749.196,1
"102554955010661_ereg_212",-6.023,802.726,471.587,1739.01,0
"102555009010661_ereg_Md",-5.21,788.853,915.142,1418.529,0.576
"102555018010661_ereg_212",-2.807,795.376,436.769,1945.307,-0.021
"102555054010661_ereg_212",-3.29,769.764,238.435,1980.759,0.045
"102555072010661_ereg_212",-4.957,781.649,146.573,2133.873,0
"102555138010661_ereg_212",-3.98,790.866,453.603,1582.009,-0.4
"102555144010661_ereg_212",-7.19,798.036,375.009,1549.168,-0.2
"102555177010661_ereg_212",-4.422,808.727,113.391,1870.599,0
"102555195010661_ereg_212",-5.822,792.831,467.232,1682.511,0.979
"102555198010661_ereg_212",-7.685,807.414,441.473,1621.649,-0.24
"102555216010661_ereg_212",-5.615,807.747,442.472,1618.654,0
"102555222010661_ereg_212",-5.665,806.928,479.142,1946.918,0
"102555228010661_ereg_212",-5.87,787.808,200.78,2063.942,1
"102555264010661_ereg_212",-4.762,798.063,215.702,1831.252,0
"102555303010661_ereg_212",-4.782,799.915,415.956,1580.927,1
"102555321010661_ereg_222",-4.245,849.042,875.651,1426.406,-0.237
"102555324010661_ereg_222",-3.005,846.595,827.042,1395.43,-0.781
"102555327010661_ereg_212",-3.238,792.094,120.75,1826.104,1
"102555333010661_ereg_212",-2.46,799.371,378.605,1772.764,-0.517
"102555336010661_ereg_222",-1.877,839.692,627.633,1610.865,-0.136
"102555339010661_ereg_222",-4.967,843.829,631.221,1616.914,0.941
"102555342010661_ereg_222",-4.332,846.232,659.475,1797.571,0
"102555360010661_ereg_212",-1.912,868.103,395.872,1505.462,0
"102555375010661_ereg_222",-5.755,854.345,840.642,1444.436,0.088
"102555378010661_ereg_212",-2.165,833.161,425.747,1514.525,-0.309
"102555453010661_ereg_212",-5.365,800.608,203.745,1770.339,-0.352
"102555462010661_ereg_212",-6.822,783.233,406.695,1444.027,0.008
"102555465010661_ereg_212",-4.133,776.514,108.691,1737.683,1
"102555474010661_ereg_222",-4.428,811.757,593.598,1545.029,-0.672
"102555477010661_ereg_222",-4.738,867.24,872.192,1404.865,-0.357
"102555480010661_ereg_212",-8.092,800.272,174.803,1870.914,0.469
"102555495010661_ereg_212",-6.95,826.973,436.362,1625.538,-0.101
"102555507010661_ereg_212",-4.023,787.739,413.401,1752.424,-0.525
"102555516010661_ereg_212",-6.348,781.986,351.491,1343.628,-0.149
"102555519010661_ereg_212",-8.3,794.708,291.831,1556.362,0
"102555522010661_ereg_212",-5.797,820.608,462.438,1620.402,1
"102555531010661_ereg_212",-4.955,775.324,558.035,1514.753,-0.176
"102555561010661_ereg_222",-2.477,866.165,680.814,1731.453,0
"102555579010661_ereg_222",-3.617,845.302,885.437,1535.387,-0.016
"102555594010661_ereg_222",-3.475,856.669,858.112,1459.506,0
"102555597010661_ereg_212",-5.96,794.898,131.09,1767.142,0
"102555600010661_ereg_222",-2.785,835.006,625.676,1735.622,-1
"102555624010661_ereg_212",-4.995,800.265,523.419,1680.892,0.181
"102555636010661_ereg_212",-5.835,809.762,98.886,1787.396,0
"102555645010661_ereg_222",-3.885,856.373,837.091,1342.222,-0.635
"102555651010661_ereg_222",-1.127,826.323,614.247,1608.655,0.445
"102555663010661_ereg_212",-6.467,782.669,222.39,2124.593,-0.016
"102555681010661_ereg_212",-3.628,770.499,0,2058.73,0.899
"102555696010661_ereg_222",-1.05,849.527,442.295,1786.285,0
"102555729010661_ereg_212",-3.648,798.453,416.463,1687.649,-1
"102555765010661_ereg_212",-5.037,803.087,187.025,1798.606,-0.125
"102555780010661_ereg_212",-2.325,776.84,469.941,1541.414,0
"102555792010661_ereg_222",-3.492,890.856,949.405,1568.789,-0.789
"102555804010661_ereg_212",-3.092,812.264,202.168,2051.789,-0.957
"102555819010661_ereg_212",-8.457,783.281,125.508,1813.546,1
"102555834010661_ereg_222",-4.38,808.726,650.465,1869.953,-0.533
"102555855010661_ereg_212",-7.422,782.437,231.278,1864.363,-0.179
"102555858010661_ereg_212",-8.473,796.49,423.046,1567.662,1
"102555861010661_ereg_222",-3.602,855.694,855.854,1403.984,0
"102555864010661_ereg_222",-4.755,855.261,862.224,1440.598,-0.549
"102555867010661_ereg_212",-4.525,792.725,0,1888.674,-0.368
"102555870010661_ereg_212",-4.738,795.178,89.402,1727.901,0.957
"102555891010661_ereg_222",-4.867,852.618,825.758,1270.019,-0.277
"102555897010661_ereg_212",-5.668,821.272,106.622,1784.352,0
"102555900010661_ereg_212",-5.602,792.668,484.587,1821.547,0
"102555915010661_ereg_212",-9.37,825.865,376.584,1519.455,1
"102555918010661_ereg_222",-5.345,840.232,624.537,1943.339,0
"102555927010661_ereg_212",-3.477,812.395,178.394,1831.645,0.656
"102555939010661_ereg_212",-4.672,825.871,0,1993.044,0.947
"102555942010661_ereg_212",-6.235,806.898,485.933,1900.228,0
"102555972010661_ereg_222",-4.117,884.843,826.298,1655,-0.181
"102556008010661_ereg_212",-4.293,826.08,385.435,1592.789,-0.44
"102556011010661_ereg_222",-5.92,808.608,836.521,1343.705,-0.021
"102556014010661_ereg_212",-5.465,817.065,516.081,1549.539,0
"102556036010661_ereg_222",-4.598,867.192,572.221,1494.388,-0.208
"102556042010661_ereg_222",-5.265,878.725,610.454,1678.28,-0.083
"102556054010661_ereg_212",-13.228,784.363,432.535,1283.631,-0.333
"102556057010661_ereg_212",-6.96,817.661,348.409,1456.546,0.995
"102556060010661_ereg_212",-11.037,824.116,439.208,1287.39,-0.288
"102556081010661_ereg_222",-4.795,864.075,608.371,1679.161,-0.109
"102556084010661_ereg_222",-4.732,864.326,618.806,1853.336,-0.253
"102556105010661_ereg_212",-10.295,828.613,777.724,951.076,0
"102556108010661_ereg_212",-13.02,772.007,752.402,994.185,0
"102556111010661_ereg_212",-11.652,827.502,738.465,930.009,1
"102556117010661_ereg_212",-8.572,776.872,280.886,1450.155,-0.013
"102556120010661_ereg_212",-10.877,810.446,458.723,1240.248,-0.349
"102556126010661_ereg_222",-4.703,864.466,851.679,1372.382,-0.072
"102556132010661_ereg_222",-5.935,871.15,564.302,1630.366,-0.021
"102556168010661_ereg_212",-11.415,738.422,386.386,1500.757,1
"102556171010661_ereg_212",-13.1,732.899,747.965,950.312,0
"102556174010661_ereg_212",-12.363,793,723.247,933.379,1
"102556177010661_ereg_212",-9.78,807.49,776.329,927.975,-0.493
"102556183010661_ereg_212",-13.06,771.541,446.783,1359.758,0.557
"102556186010661_ereg_212",-12.957,780.635,404.041,1311.84,0.675
"102556237010661_ereg_212",-13.19,712.607,659.248,842.987,-0.104
"102556249010661_ereg_212",-11.732,733.957,805.763,996.347,0.453
"102556261010661_ereg_212",-12.09,734.741,458.528,1319.968,0
"102556270010661_ereg_212",-6.115,736.39,342.81,1380.448,-0.605
"102556273010661_ereg_212",-11.145,779.395,406.842,1252.964,-0.019
"102556282010661_ereg_212",-8.205,789.852,469.79,1310.98,0.675
"102556294010661_ereg_212",-1.607,779.869,148.645,1761.638,-0.56
"102556357010661_ereg_212",-12.952,718.277,341.037,1547.741,0
"102556363010661_ereg_212",-12.582,726.259,445.362,1342.325,0
"102556366010661_ereg_212",-11.912,731.964,403.105,1312.904,0
"102556375010661_ereg_212",-10.715,771.852,454.341,1317.219,0.661
"102556378010661_ereg_212",-11.93,763.139,455.552,1352.444,1
"102556387010661_ereg_212",-5.57,774.387,398.585,1426.181,0.157
"102556393010661_ereg_212",-8.375,774.513,517.667,1369.901,0.616
"102556396010661_ereg_212",-4.692,794.641,158.824,1771.051,0.963
"102556399010661_ereg_212",-2.55,786.3,412.355,1458.481,1
"102556459010661_ereg_212",-12.415,716.179,484.928,1423.826,0.632
"102556462010661_ereg_212",-12.595,721.1,419.874,1324.896,0
"102556471010661_ereg_212",-5.89,716.037,394.828,1543.96,-0.371
"102556477010661_ereg_212",-6.683,756.592,387.569,1410.645,-0.416
"102556480010661_ereg_212",-6.36,727.021,375.833,1494.465,0
"102556492010661_ereg_212",-6.265,778.502,418.007,1462.278,0
"102556495010661_ereg_212",-6.377,777.488,371.039,1420.606,0
"102556501010661_ereg_212",-4.73,717.242,437.397,1513.716,0.923
"102556504010661_ereg_212",-6.735,737.073,437.205,1431.948,0.664
"102556543010661_ereg_212",-6.172,785.489,603.341,1551.211,-0.056
"102556648010661_ereg_212",-13.03,708.587,457.125,1372.09,-0.237
"102556675010661_ereg_212",-12.855,723.685,469.868,1309.004,-0.04
"102556681010661_ereg_212",-7.363,722.299,145.74,1866.7,0
"102556684010661_ereg_212",-11.977,723.022,577.082,1470.293,-0.347
"102556729010661_ereg_212",-4.192,709.571,166.031,1934.681,0.869
"102556732010661_ereg_212",-10.812,732.688,564.46,1448.439,0.475
"102556744010661_ereg_212",-10.445,784.842,533.314,1435.999,-0.813
"102556747010661_ereg_212",-8.995,801.98,628.775,1380.167,-0.968
"102556750010661_ereg_212",-6.607,754.966,590.2,1351.359,0.216
"102556774010661_ereg_212",-3.31,786.714,412.244,1699.106,0
"102556795010661_ereg_212",-4.47,799.415,481.738,1691.076,-0.728
"102556801010661_ereg_212",-3.527,805.774,470.49,1656.233,-0.088
"102556894010661_ereg_Me",-6.023,816.17,847.235,1374.265,-0.912
"102556954010661_ereg_212",-14.172,689.516,385.686,1257.132,-0.232
"102556963010661_ereg_212",-12.87,709.217,523.694,1396.27,-1
"102556972010661_ereg_212",-11.615,712.075,513.162,1395.942,0.04
"102556984010661_ereg_Ma",-11.742,726.367,520.355,1437.108,0.371
"102556999010661_ereg_212",-5.588,708.933,117.041,1839.414,1
"102557014010661_ereg_212",-5.768,703.511,168.445,1920.444,1
"102557020010661_ereg_212",-10.033,712.146,553.651,1496.474,0.003
"102557032010661_ereg_212",-9.787,722.702,569.233,1508.825,0.395
"102557038010661_ereg_212",-9.795,746.729,562.819,1354.669,1
"102557044010661_ereg_212",-7.892,766.547,617.328,1444.078,-0.115
"102557050010661_ereg_212",-4.76,756.233,50.509,2079.43,0.776
"102557065010661_ereg_212",-8.67,756.282,599.756,1479.813,0
"102557068010661_ereg_212",-8.152,764.153,581.088,1458.882,0
"102557116010661_ereg_Mc",-7.293,810.861,457.977,1927.588,0.899
"102557164010661_ereg_Mb",-7.098,784.17,586.747,1880.733,-0.547
"102557224010661_ereg_212",-10.647,675.069,347.156,1571.505,-0.413
"102557227010661_ereg_212",-4.907,679.915,52.385,1964.473,0.165
"102557245010661_ereg_Ma",-10.082,702.514,529.694,1439.246,0.992
"102557248010661_ereg_Ma",-7.622,703.746,172.724,1959.839,0.952
"102557251010661_ereg_Ma",-7.71,691.959,0,2101.447,1
"102557293010661_ereg_212",-9.19,698.145,613.936,1441.352,0
"102557308010661_ereg_212",-4.16,711.938,144.417,2069.889,0
"102557311010661_ereg_212",-9.787,714.153,577.767,1538.974,0
"102557314010661_ereg_212",-9.902,729.047,554.855,1489.97,1
"102557320010661_ereg_212",-8.848,740.544,583.474,1565.393,1
"102557329010661_ereg_212",-6.797,744.97,40.713,2011.368,1
"102557335010661_ereg_212",-4.025,746.497,112.931,1917.085,-0.296
"102557338010661_ereg_212",-7.943,738.487,418.879,1694.836,0.845
"102557347010661_ereg_212",-7.013,734.377,438.044,1628.157,1
"102557359010661_ereg_212",-6.625,744.282,0,2014.527,0
"102557371010661_ereg_212",-2.803,743.666,0,2068.437,0
"102557398010661_ereg_Mc",-6.998,812.681,451.508,1953.345,0.952
"102557419010661_ereg_Mb",-5.598,783.352,863.648,1410.673,-0.365
"102557437010661_ereg_Mb",-6.598,762.295,547.148,1721.053,-0.773
"102557521010661_ereg_212",-13.477,677.706,395.48,1308.509,0.877
"102557524010661_ereg_212",-10.127,677.193,481.75,1344.896,1
"102557527010661_ereg_212",-9.135,677.983,497.305,1440.527,0.52
"102557530010661_ereg_212",-10.72,682.122,509.758,1429.793,0.683
"102557533010661_ereg_Ma",-9.885,677.934,441.555,1372.102,1
"102557536010661_ereg_212",-12.477,683.904,374.738,1206.406,0
"102557542010661_ereg_Ma",-6.902,679.055,139.863,1984.893,1
"102557548010661_ereg_Ma",-10.19,678.169,544.989,1526.19,0.349
"102557551010661_ereg_Ma",-4.428,685.78,0,2015.661,1
"102557554010661_ereg_212",-8.575,694.776,624.369,1469.662,0.125
"102557563010661_ereg_212",-10.075,702.235,539.607,1438.03,-0.808
"102557572010661_ereg_212",-8.51,720.541,569.901,1537.127,1
"102557578010661_ereg_212",-5.05,719.342,168.312,1833.179,-0.837
"102557587010661_ereg_212",-8.125,728.597,615.69,1551.702,0
"102557605010661_ereg_212",-3.643,731.79,0,2032.543,-0.496
"102557734010661_ereg_212",-12.305,659.93,457.854,1379.282,-0.203
"102557755010661_ereg_212",-6.195,668.413,0,1995.686,1
"102557770010661_ereg_Ma",-5.71,676.241,159.814,1867.176,1
"102557812010661_ereg_212",-4.825,716.013,123.938,1865.16,0.139
"102557824010661_ereg_212",-4.695,718.89,553.031,1438.93,0
"102557830010661_ereg_212",-4.27,719.877,150.331,1924.483,0
"102557833010661_ereg_212",-5.945,720.978,555.104,1440.841,0
"102557839010661_ereg_212",-5.613,715.862,384.443,1639.355,0
"102557845010661_ereg_212",-2.925,729.697,153.744,1877.664,-0.339
"102557875010661_ereg_212",-5.14,713.064,577.099,1418.46,-0.491
"102558049010661_ereg_Ma",-5.718,638.488,0,1946.654,0
"102558055010661_ereg_Ma",-6.87,635.202,0,2069.067,1
"102558067010661_ereg_Ma",-5.918,657.743,42.561,2025.935,0
"102558073010661_ereg_Ma",-9.348,668.91,525.096,1423.649,1
"102558082010661_ereg_Ma",-5.445,670.14,93.637,1781.225,0.477
"102558088010661_ereg_Mb",-5.82,668.437,150.106,1882.31,1
"102558097010661_ereg_212",-11.225,682.476,465.165,1325.842,0.68
"102558103010661_ereg_212",-5.627,679.12,434.525,1563.361,1
"102558112010661_ereg_212",-8.575,693.607,502.003,1411.153,0
"102558136010661_ereg_212",-5.518,702.742,159.853,1814.321,-0.024
"102558154010661_ereg_212",-5.825,718.977,361.701,1537.859,-0.037
"102558157010661_ereg_212",-6.44,720.922,576.978,1387.722,0.243
"102558172010661_ereg_212",-8.342,729.984,553.715,1397.983,-1
"102558187010661_ereg_212",-3.357,697.008,658.43,1561.964,-0.624
"102558199010661_ereg_212",-2.795,682.914,102.32,2252.527,0.096
"102558388010661_ereg_Ma",-10.63,655.532,502.084,1395.044,0.88
"102558394010661_ereg_Ma",-6.585,653.217,0,2024.64,0
"102558403010661_ereg_Mb",-10.725,673.538,516.698,1456.488,1
"102558406010661_ereg_Ma",-5.75,670.823,149.744,1765.022,-0.147
"102558415010661_ereg_Ma",-9.277,668.158,363.548,1592.792,0.427
"102558430010661_ereg_212",-9.25,679.067,539.161,1390.33,0.877
"102558445010661_ereg_212",-8.857,690.158,513.332,1410.472,1
"102558460010661_ereg_212",-6.91,673.047,428.443,1579.117,-0.432
"102558463010661_ereg_212",-8.003,680.84,510.798,1446.77,1
"102558466010661_ereg_212",-10.512,656.216,308.072,1207.377,0.683
"102558475010661_ereg_212",-10.707,684.366,386.358,1215.841,-0.179
"102558478010661_ereg_212",-5.75,684.107,300.346,1465.3,0.952
"102558481010661_ereg_212",-4.178,713.827,117.735,1939.393,-0.12
"102558505010661_ereg_212",-8.705,691.058,629.781,1631.522,0.509
"102558511010661_ereg_212",-2.92,675.551,45.126,2313.213,-0.501
"102558517010661_ereg_212",-7.565,684.602,532.512,1517.278,0.824
"102558526010661_ereg_Ma",-3.217,683.796,0,2220.328,1
"102558529010661_ereg_Ma",-3.227,690.627,0,2270.837,0
"102558664010661_ereg_Mb",-13.227,647.474,252.422,1707.392,0.005
"102558670010661_ereg_Mb",-12.228,633.612,576.495,1280.286,1
"102558673010661_ereg_Ma",-7.1,645.304,102.387,1922.397,-0.021
"102558676010661_ereg_Mb",-11.893,644.12,254.778,1731.641,1
"102558682010661_ereg_Mb",-4.81,646.863,109.961,1764.751,1
"102558685010661_ereg_Mb",-10.905,629.886,273.585,1725.269,1
"102558691010661_ereg_Mb",-5.375,647.405,165.769,1809.126,1
"102558697010661_ereg_Mb",-10.48,625.077,290.295,1779.511,1
"102558700010661_ereg_Mb",-9.633,627.793,239.355,1692.174,0
"102558703010661_ereg_Mb",-10.562,642.996,515.803,1442.888,1
"102558712010661_ereg_Ma",-6.555,659.462,44.858,1943.561,0
"102558715010661_ereg_212",-11.987,664.465,416.175,1583.091,-0.088
"102558718010661_ereg_212",-11.375,664.878,399.619,1627.643,1
"102558721010661_ereg_212",-4.383,660.956,0,1952.019,1
"102558727010661_ereg_212",-4.572,666.969,116.996,1784.695,0
"102558733010661_ereg_212",-11.07,658.826,556.438,1471.193,0
"102558739010661_ereg_212",-6.152,671.979,390.907,1729.009,0
"102558754010661_ereg_212",-9.48,664.671,426.055,1345.043,-0.144
"102558916010661_ereg_251",-5.82,680.216,389.431,1964.454,0.84
"102558991010661_ereg_Mb",-14.02,624.693,269.557,1796.968,0.429
"102558994010661_ereg_Mb",-13.385,619.443,121.028,1862.491,0.997
"102559000010661_ereg_Mb",-12.537,615.915,138.568,1956.889,1
"102559006010661_ereg_Mb",-12.777,618.036,139.187,1958.157,0
"102559012010661_ereg_Mb",-7.633,610.986,0,2156.501,0.053
"102559018010661_ereg_Mb",-6.883,611.752,98.285,1712.908,1
"102559021010661_ereg_Mb",-5.245,636.197,0,1953.253,1
"102559024010661_ereg_Mb",-13.928,625.525,489.989,1390.29,0
"102559027010661_ereg_Mb",-9.848,656.018,391.037,1579.427,0.888
"102559066010661_ereg_212",-5.148,674.697,341.675,1637.252,-0.069
"102559069010661_ereg_212",-6.21,668.088,214.289,1891.922,-0.973
"102559075010661_ereg_212",-9.012,672.438,268.129,1663.608,0
"102559090010661_ereg_Ma",-5.527,677.324,317.898,1923.445,0
"102559216010661_ereg_Mb",-12.6,610.243,501.542,1541.297,-0.955
"102559219010661_ereg_Mb",-12.627,603.455,137.727,1897.756,-0.288
"102559222010661_ereg_Mb",-11.85,600.488,121.293,1935.552,0.451
"102559228010661_ereg_Mb",-13.275,610.911,122.059,1806.765,0
"102559237010661_ereg_Mb",-10.66,610.174,131.775,1843.527,1
"102559240010661_ereg_Mb",-10.24,603.537,634.249,1213.313,1
"102559246010661_ereg_Mb",-6.63,608.448,0,2132.732,0.56
"102559255010661_ereg_Mb",-10.675,596.016,605.243,1324.4,0.237
"102559273010661_ereg_212",-11.027,588.395,118.869,1797.371,0
"102559276010661_ereg_212",-11.3,595.512,124.688,1837.029,1
"102559309010661_ereg_212",-9.047,666.663,326.694,1768.052,0.437
"102559315010661_ereg_212",-4.045,668.01,386.218,1590.563,-0.523
"102559327010661_ereg_212",-9.34,665.374,248.348,1537.241,0
"102559348010661_ereg_212",-6.492,674.728,309.97,1832.283,0.968
"102559357010661_ereg_212",-5.705,663.138,313.075,1847.824,-0.128
"102559591010661_ereg_Mb",-11.97,601.817,164.738,1917.514,0
"102559594010661_ereg_Mb",-11.93,603.321,245.849,1682.628,0
"102559600010661_ereg_Mb",-11.693,592.939,500.347,1404.47,1
"102559606010661_ereg_Mb",-11.355,592.26,498.618,1410.382,-0.813
"102559609010661_ereg_Mb",-10.058,599.922,509.094,1460.866,0.275
"102559621010661_ereg_Mb",-9.035,588.718,478.213,1467.117,0.8
"102559624010661_ereg_Mb",-8.295,596.569,555.713,1227.147,0
"102559630010661_ereg_Mb",-10.412,588.295,478.875,1439.553,1
"102559633010661_ereg_Mb",-9.715,589.242,471.517,1472.222,0.579
"102559642010661_ereg_212",-9.12,591.888,129.35,1905.443,-1
"102559666010661_ereg_212",-5.442,632.71,38.539,2134.067,0
"102559678010661_ereg_Ma",-5.332,619.899,0,2316.78,0
"102559690010661_ereg_212",-5.23,648.766,234.299,1800.416,0.957
"102559699010661_ereg_212",-10.435,639.251,155.76,1969.283,0
"102559702010661_ereg_212",-8.947,654.879,284.216,1643.301,-0.04
"102559957010661_ereg_Mb",-9.473,583.874,477.42,1448.248,0.928
"102559963010661_ereg_Mb",-12.74,576.093,493.775,1485.283,0
"102559966010661_ereg_Mb",-5.453,576.679,38.374,1946.415,0.92
"102560020010661_ereg_Ma",-11.543,625.539,682.336,1354.42,0.781
"102560032010661_ereg_212",-9.86,642.118,287.178,1650.948,-0.861
"102560152010661_ereg_Mb",-13.598,578.698,129.74,1799.023,1
"102560185010661_ereg_222",-12.592,572.789,532.716,1545.235,1
"102560206010661_ereg_222",-11.27,560.293,139.872,1972.637,0
"102560272010661_ereg_251",-10.428,593.171,726.855,1492.887,1
"102560398010661_ereg_222",-14.992,551.218,518.024,1585.349,-0.008
"102560539010661_ereg_222",-12.91,519.888,532.78,1702.399,0
"102560548010661_ereg_222",-12.578,523.62,523.654,1612.146,0.973
"102560665010661_ereg_222",-11.807,511.177,496.974,1501.046,0.379
"102560668010661_ereg_222",-13.685,512.004,533.311,1631.853,0.539
"102560788010661_ereg_222",-3.898,855.985,608.393,1598.739,0
"102560827010661_ereg_212",-11.598,758.442,503.995,1398.045,-0.643
"102560830010661_ereg_212",-2.947,753.151,164.69,1858.911,0.997
"102560857010661_ereg_212",-10.773,684.199,367.673,1659.383,1
"102560860010661_ereg_212",-9.99,708.486,582.821,1532.784,0.005
"102560884010661_ereg_212",-6.045,679.242,0,1940.972,-0.101
"102560887010661_ereg_Ma",-7.46,691.3,542.364,1339.396,-0.776
"102560890010661_ereg_212",-9.842,687.223,379.502,1636.42,0
"102560923010661_ereg_212",-9.357,727.427,523.546,1360.84,0
"102560929010661_ereg_212",-7.31,706.25,423.578,1782.06,0.133
"102560947010661_ereg_Ma",-7.34,666.128,0,2089.299,1
"102560977010661_ereg_Mb",-9.363,647.297,514.488,1458.485,0.699
"102561013010661_ereg_251",-4.885,659.939,261.652,2277.423,-0.115
"102561025010661_ereg_212",-10.42,647.035,324.701,1806.045,1
"102561106010661_ereg_222",-14.34,552.491,514.694,1600.518,-0.037
"102561154010661_ereg_212",-9.06,853.537,288.166,1474.217,1
"102561166010661_ereg_212",-4.617,771.98,361.092,1352.828,0
"102561181010661_ereg_212",-9.672,725.976,462.486,1347.81,-0.157
"102561211010661_ereg_212",-5.023,708.825,172.673,1918.632,0
"102561214010661_ereg_212",-7.433,728.836,155.618,1885.129,1
"102561217010661_ereg_212",-8.355,738.665,401.963,1609.653,0.013
"102561229010661_ereg_212",-6.73,720.799,572.541,1418.648,1
"102561244010661_ereg_212",-2.402,702.697,47.964,2171.693,0
"102561265010661_ereg_212",-8.602,700.633,558.416,1389.013,0
"102561295010661_ereg_212",-7.577,653.158,326.472,1789.782,0
"102561346010661_ereg_212",-4.72,702.389,161.447,1873.961,0.896
"102561409010661_ereg_212",-4.475,678.548,376.477,1590.164,0.92
"102561427010661_ereg_212",-11.53,662.896,549.126,961.362,-0.712
"102561517010661_ereg_222",-4.735,879.197,640.868,1683.676,-0.413
"102561523010661_ereg_222",-5.385,884.315,606.172,1688.095,-0.36
"102561535010661_ereg_212",-12.96,861.13,459.901,1329.145,0
"102561559010661_ereg_222",-5.15,867.729,610.319,1683.999,-0.005
"102561562010661_ereg_222",-5.137,863.747,593.159,1734.946,-0.021
"102561580010661_ereg_212",-13.273,832.181,406.059,1251.342,-0.376
"102561595010661_ereg_222",-6.523,866.387,875.774,1466.387,0
"102561619010661_ereg_212",-12.657,812.223,705.543,931.141,-0.195
"102561622010661_ereg_212",-11.008,805.605,408.186,1244.186,-0.104
"102561631010661_ereg_212",-7.822,743.947,451.045,1191.464,0.616
"102561640010661_ereg_222",-5.435,845.506,834.307,1387.637,0.685
"102561649010661_ereg_222",-5.68,864.989,843.481,1358.4,-0.835
"102561655010661_ereg_222",-6.36,862.481,828.716,1310.745,0.285
"102561682010661_ereg_222",-4.995,853.388,879.077,1412.779,-0.027
"102561715010661_ereg_212",-8.785,782.102,478.153,1267.098,-1
