"","lon","lat","phys","slope","aspect"
"UMB_O2",-84.71104444,45.55996111,2,NA,NA
"UMB_O4",-84.70848333,45.56000083,2,NA,NA
"UMB_O6",-84.70592222,45.56004056,2,NA,NA
"UMB_O8",-84.70336111,45.56008028,2,NA,NA
"UMB_O10",-84.7008,45.56012,2,NA,NA
"UMB_Q1",-84.71264167,45.56051389,2,NA,NA
"UMB_Q3",-84.71071667,45.56170083,2,NA,NA
"UMB_Q5",-84.70879167,45.56288778,2,NA,NA
"UMB_Q7",-84.70686667,45.56407472,2,NA,NA
"UMB_Q9",-84.70494167,45.56526167,2,NA,NA
"WYG_1",-95.5163,45.5354,2,NA,NA
"WYG_2",-95.5172,45.536167,2,NA,NA
"WYG_3",-95.4939,45.529,1,NA,NA
"WYG_4",-95.49435,45.529133,1,NA,NA
"WYG_5",-95.495183,45.529567,1,NA,NA
"WYG_6",-95.495367,45.529783,1,NA,NA
"WYG_7",-95.50084331,45.53492443,2,NA,NA
"WYG_8",-95.51783586,45.53612027,2,NA,NA
"WYG_9",-95.51724267,45.53593755,2,NA,NA
"WYG_10",-95.51631496,45.53544134,2,NA,NA
"WYM_1",-95.955483,46.50385,3,NA,NA
"WYM_2",-95.953867,46.503283,3,NA,NA
"WYM_3",-95.950867,46.502417,3,NA,NA
"WYM_4",-95.948283,46.50185,3,NA,NA
"WYM_5",-95.97585,46.5385,1,NA,NA
"WYM_6",-95.9743,46.5393,1,NA,NA
"WYM_7",-95.97315,46.539567,1,NA,NA
"WYM_8",-95.97536615,46.53892505,2,NA,NA
"WYM_9",-95.967733,46.5281,2,NA,NA
"WYM_10",-95.96695,46.52505,2,NA,NA
"WYS_1",-95.030083,45.327083,2,NA,NA
"WYS_2",-95.028983,45.326567,2,NA,NA
"WYS_3",-95.029867,45.326467,2,NA,NA
"WYS_4",-95.029367,45.324733,2,NA,NA
"WYS_5",-95.026783,45.331,2,NA,NA
"WYS_6",-95.0255,45.326083,2,NA,NA
"WYS_7",-95.025333,45.321717,2,NA,NA
"WYS_8",-95.027433,45.323517,2,NA,NA
"WYS_9",-95.025967,45.312833,2,NA,NA
"WYS_10",-95.025017,45.312467,2,NA,NA
"WYN_1",-96.0760167,45.7703333,3,NA,NA
"WYN_2",-96.0755833,45.7709667,3,NA,NA
"WYN_3",-96.0751667,45.7714333,3,NA,NA
"WYN_4",-96.0746,45.7708,3,NA,NA
"WYN_5",-96.0736333,45.7711833,3,NA,NA
"WYN_6",-96.07405,45.77205,3,NA,NA
"WYN_7",-96.0723333,45.77095,3,NA,NA
"WYN_8",-96.0713,45.7707333,2,NA,NA
"WYN_9",-96.0711667,45.7700667,2,NA,NA
"WYN_10",-96.0704833,45.7702167,2,NA,NA
"HB_w1",-71.728825,43.9556695,2,NA,NA
"HB_w6",-71.7395555,43.9534645,2,NA,NA
"HF_Hem",-72.18,42.54,2,NA,NA
"HF_HemHist",-72.2,42.5,2,NA,NA
"HF_Lyford",-72.18,42.53,2,NA,NA
"HF_N",-72.18,42.54,2,NA,NA
"HF_Overstory",-72.2,42.5,2,NA,NA
"HF_Pisgah",-72.44,42.83,2,NA,NA
"HF_BW",-72.17686725,42.45538851,2,NA,NA
"HF_S",-72.21740288,42.46489345,3,NA,NA
"HF_Warm",-72.18862636,42.53601167,2,NA,NA
"30635519010478",-77.540904,37.135008,2,0,0
"30545083010478",-78.251104,37.021736,2,6,50
"30833767010478",-78.617623,37.276017,2,10,190
"30665957010478",-77.561331,39.175194,2,0,0
"30708438010478",-79.766619,37.999507,1,37,100
"30594714010478",-80.099706,37.178173,2,15,25
"30599739010478",-82.82861,36.668437,1,50,165
"30573410010478",-82.423059,36.680147,1,41,145
"30690084010478",-82.704,37.086223,2,68,355
"79220102010478",-78.653866,36.975053,2,5,170
"79169149010478",-81.953875,36.780705,2,45,82
"100208768010478",-81.943985,37.425184,2,45,140
"100212435010478",-80.814397,36.784309,2,21,250
"142940466010478",-79.140611,38.403541,1,22,75
"142966232010478",-79.580695,38.542196,2,26,25
"142983173010478",-82.638311,36.77535,2,68,64
"55968482010538",-72.026777,44.788153,2,10,240
"55946618010538",-73.048741,44.097594,2,35,75
"55955654010538",-73.029593,43.339728,2,10,340
"73587237010538",-71.842477,44.660299,2,14,345
"73606542010538",-72.421269,43.341979,2,37,117
"73610500010538",-73.198153,42.75924,2,15,210
"122567044010661",-73.201216,43.520744,2,27,31
"122567076010661",-72.668072,44.66547,2,26,289
"122567000010661",-72.539245,44.175932,2,15,105
"122566726010661",-72.531209,43.038954,2,20,287
"69975096010661",-91.476769,46.709576,2,1,0
"69844023010661",-91.031047,44.328223,1,1.5,0
"69846900010661",-90.81931,44.253245,2,0,0
"90773778010661",-87.668846,45.048029,2,2,0
"90604848010661",-88.496709,44.963719,3,0.5,0
"90683143010661",-88.402681,44.628946,2,0.5,0
"90713553010661",-90.341489,45.576959,2,1.5,0
"90722561010661",-91.402786,45.50576,2,24,15
"90700497010661",-91.907767,46.106946,1,0,0
"90734658010661",-91.05637,44.886805,2,1,0
"90633093010661",-90.737958,44.386386,1,0.5,0
"90596012010661",-90.031649,44.894292,2,1.5,0
"90596157010661",-90.186925,44.879479,2,1.5,0
"96248398010661",-88.812586,45.84136,2,12,290
"96247284010661",-88.889368,45.503319,2,5,4
"96188838010661",-90.240598,46.061392,2,0.5,0
"96282423010661",-89.051364,42.838472,2,12,330
"102483437010661",-88.871901,46.028243,2,1,0
"102487034010661",-89.02719,45.918008,2,19,330
"102488445010661",-91.779642,46.544565,3,0,0
"102488271010661",-91.442705,45.494411,2,5,135
"102485561010661",-90.77938,45.705398,2,6,20
"102488256010661",-91.536822,45.798089,2,1,0
"102487938010661",-90.978754,44.888327,2,10,1
"102486731010661",-88.839942,44.605221,3,0,0
"102488763010661",-90.747158,43.281439,2,18,40
"102489579010661",-91.003493,43.486767,2,47,45
"102553503010661",-89.089611,46.111571,2,10,305
"102554061010661",-90.423215,45.329984,3,1,0
"102550983010661",-91.712379,44.889271,2,1,0
"66774700010538",-79.209936,38.824725,2,17,338
"66770223010538",-81.448414,37.316771,2,48,281
"75143244010538",-82.207982,37.930185,2,69,70
"75147218010538",-80.673519,40.14761,2,32,185
"122560876010661",-82.247697,38.514125,2,32,23
"122560382010661",-80.39163,39.628555,2,37,227
"122560868010661",-82.039952,38.588112,2,39,178
"122560550010661",-80.955036,39.183213,2,30,240
"249603790010854",-66.559051,18.261736,NA,9,250
"22301552010478",-85.828557,32.777257,2,20,105
"22305374010478",-87.745876,31.38224,2,10,214
"22336977010478",-85.718733,32.298732,2,2.5,82.5
"22339858010478",-85.779094,33.269761,2,23,57.5
"22335652010478",-87.614894,34.371138,2,13.5,190
"22340219010478",-87.036687,31.371861,2,8,52.5
"22333098010478",-85.659983,31.907986,2,13.5,115
"22334230010478",-86.130584,32.96297,2,11.5,133.5
"22343970010478",-86.85084,33.406958,2,1.5,0
"22350285010478",-85.735402,34.24093,1,30,155
"39025179010478",-85.702344,33.611347,2,20,170
"59573517010478",-92.355364,34.283707,2,0,0
"59528871010478",-94.210468,34.984257,2,23,44
"59560323010478",-92.076182,35.707334,2,37.5,39.5
"59436299010478",-91.26007,36.461364,2,31.5,35
"59363957010478",-93.773805,34.194804,2,23.5,94.5
"59544643010478",-91.336945,34.503857,2,0,0
"59554614010478",-90.729282,36.491981,2,0,0
"59464539010478",-94.36053,35.41301,2,0,0
"82532412010478",-92.949459,34.46346,2,33,200
"82508097010478",-94.312402,35.939998,2,34.5,79
"121316632010478",-93.666881,33.736646,2,0,0
"121343550010478",-94.406971,36.103572,2,5,325
"121343100010478",-93.881384,36.317783,2,18,347.5
"121346746010478",-93.361148,36.144315,2,22,225
"121355392010478",-91.737829,36.478255,2,6,197.5
