"latitude","longitude","elevation"
"1",36.8161,-79.6795,361.003967285156
"2",36.5985,-79.7822,235.974014282227
"3",36.6837,-80.0601,289.128692626953
"4",38.4191,-79.6898,1119.85083007812
"5",38.2183,-79.6065,661.631591796875
"6",38.2803,-79.4364,701.077270507812
"7",38.3677,-79.3812,818.421630859375
"8",38.413,-79.5514,1039.53344726562
"9",37.4002,-76.8879,4.26797962188721
"10",37.3712,-76.8061,32.1444511413574
"11",37.4229,-76.7643,10.9588432312012
"12",37.921,-77.1752,35.554615020752
"13",37.522,-76.7467,12.1984252929688
"14",36.7338,-82.8814,581.859313964844
"15",36.7365,-83.047,527.282531738281
"16",39.2013,-77.7852,326.937957763672
"17",39.0477,-77.5318,82.1695785522461
"18",37.9962,-77.9455,120.559661865234
"19",37.8125,-77.858,86.3121643066406
"20",38.1324,-78.0327,108.068481445312
"21",37.0667,-78.2595,181.82551574707
"22",38.4216,-78.2773,205.035354614258
"23",38.5384,-78.3242,795.424560546875
"24",36.7925,-78.5678,153.905059814453
"25",36.8454,-78.5262,157.368911743164
"26",36.6864,-78.428,124.647605895996
"27",36.8479,-78.3768,134.375411987305
"28",37.0977,-80.3644,629.203918457031
"29",37.7925,-79.038,362.599487304688
"30",37.8538,-78.9836,985.151550292969
"31",37.872,-78.8355,234.874633789062
"32",37.7185,-78.7448,174.384201049805
"33",37.9456,-78.7854,305.855804443359
"34",37.5559,-77.0863,46.5029067993164
"35",37.5268,-76.8758,6.70870637893677
"36",37.9917,-76.6116,19.9413070678711
"37",37.872,-76.4438,12.3166160583496
"38",46.5046,-86.3519,280.358978271484
"39",46.4379,-86.0475,267.377624511719
"40",46.4146,-86.0304,250.478057861328
"41",46.3804,-86.0491,236.517532348633
"42",46.373,-85.8726,229.12174987793
"43",46.2927,-86.3116,231.719436645508
"44",38.2877,-77.7919,140.397277832031
"45",38.4624,-78.5299,398.202117919922
"46",46.0328,-86.3938,191.60774230957
"47",38.5562,-78.4607,416.571685791016
"48",38.6956,-78.382,484.897186279297
"49",45.9758,-86.252,191.171340942383
"50",36.8163,-80.2049,365.180053710938
"51",46.4322,-86.1993,262.263000488281
"52",36.8477,-80.289,666.239562988281
"53",46.2869,-86.1002,221.058654785156
"54",46.215,-85.9489,216.929382324219
"55",46.2085,-86.5034,252.334838867188
"56",36.5817,-80.4536,475.737548828125
"57",36.7574,-80.1871,409.17041015625
"58",42.8187,-84.1048,265.723785400391
"59",42.9628,-84.3369,232.951705932617
"60",43.3602,-83.2803,252.217529296875
"61",36.9109,-79.4551,268.225646972656
"62",43.5146,-83.2117,222.051864624023
"63",43.4356,-83.4274,209.510498046875
"64",37.0377,-79.3781,231.202972412109
"65",42.3351,-85.837,244.042495727539
"66",42.2588,-85.848,223.118606567383
"67",36.5839,-79.2926,151.633560180664
"68",42.1325,-84.0676,305.0205078125
"69",37.5924,-77.978,96.7658767700195
"70",44.436,-85.5467,306.749633789062
"71",44.5075,-85.3494,311.022125244141
"72",44.4557,-85.3918,322.161407470703
"73",44.3592,-85.4139,431.797180175781
"74",44.3552,-85.6079,386.879913330078
"75",44.2875,-85.8066,273.320922851562
"76",37.2364,-77.1525,29.3501853942871
"77",46.7243,-87.7036,280.616821289062
"78",38.6564,-77.4289,116.256423950195
"79",46.6359,-87.9029,537.813232421875
"80",37.1659,-80.7637,725.568420410156
"81",46.5629,-87.4356,216.615417480469
"82",38.6706,-78.2298,255.770050048828
"83",38.6056,-78.2775,620.561462402344
"84",46.333,-87.6808,423.384918212891
"85",46.3402,-87.5021,366.772857666016
"86",37.1734,-80.1532,1024.13439941406
"87",37.6839,-79.5871,808.840454101562
"88",46.2605,-87.7391,393.611297607422
"89",37.8647,-79.2375,479.923156738281
"90",46.264,-87.5652,364.125610351562
"91",37.6651,-79.4132,320.980010986328
"92",37.8178,-79.2179,529.652221679688
"93",37.8993,-79.6198,641.005432128906
"94",46.1855,-87.5771,344.3173828125
"95",46.1841,-87.4135,321.443206787109
"96",38.5699,-78.9422,754.69189453125
"97",38.7399,-78.8826,774.850830078125
"98",38.661,-78.9274,363.032928466797
"99",38.4005,-78.855,433.630340576172
"100",38.3807,-78.5471,501.393737792969
"101",38.4765,-78.671,464.660583496094
"102",46.4155,-87.8543,450.2431640625
