"plotLon","plotLat"
"100191525010478_ereg_M221",-81.4427,36.8889
"100191655010478_ereg_M221",-81.7199,36.8813
"100191832010478_ereg_232",-77.1884,36.6913
"100192068010478_ereg_232",-76.8974,36.8884
"100192274010661_ereg_212",-87.5054,45.9396
"100192484010478_ereg_231",-77.7924,38.0844
"100192538010661_ereg_212",-87.5425,45.8685
"100193070010661_ereg_212",-87.4227,45.7299
"100193152010478_ereg_232",-77.5035,38.1812
"100193180010661_ereg_212",-87.7669,45.7143
"100193427010478_ereg_231",-77.869,38.1201
"100193464010661_ereg_212",-87.6993,45.5562
"100193557010478_ereg_231",-77.5821,38.4071
"100193666010478_ereg_231",-77.5162,38.488
"100194115010478_ereg_232",-77.388,38.4031
"100194430010661_ereg_212",-87.6834,45.1879
"100194986010661_ereg_212",-84.5374,43.6687
"100195201010661_ereg_212",-84.4806,43.5475
"100195308010661_ereg_212",-84.2478,43.5227
"100195360010478_ereg_232",-77.2442,36.852
"100195419010661_ereg_212",-84.4746,43.7511
"100195577010478_ereg_232",-77.1279,37.0809
"100195934010661_ereg_212",-84.9166,44.2703
"100196153010661_ereg_212",-85.0459,44.4618
"100196336010478_ereg_231",-78.9451,37.0262
"100196443010661_ereg_212",-85.4894,43.4335
"100196769010661_ereg_222",-85.2392,43.2858
"100196865010478_ereg_231",-78.7902,36.7056
"100197127010478_ereg_231",-79.0267,36.5816
"100197194010661_ereg_212",-84.1398,45.1232
"100197272010478_ereg_231",-78.9618,36.9483
"100197706010478_ereg_231",-77.6914,37.8759
"100197821010478_ereg_231",-77.6326,37.9367
"100198032010661_ereg_212",-84.0561,44.9744
"100198130010478_ereg_232",-77.432,37.72
"100198267010661_ereg_212",-84.2729,44.9049
"100198346010478_ereg_231",-77.6081,37.7364
"100198851010661_ereg_222",-86.292,43.1655
"100198939010478_ereg_232",-75.4924,37.9612
"100198952010661_ereg_222",-86.1276,43.2018
"100199196010661_ereg_222",-86.2172,43.349
"100199338010661_ereg_212",-85.8283,43.8037
"100199439010661_ereg_212",-85.8575,43.74
"100199562010661_ereg_212",-85.5741,43.6603
"100199705010661_ereg_212",-85.6154,43.6008
"100199749010478_ereg_231",-78.5295,37.8502
"100199835010478_ereg_231",-78.4544,37.9454
"100199998010478_ereg_221",-78.3555,38.151
"100200233010661_ereg_212",-85.7152,43.6579
"100200629010478_ereg_M221",-80.1761,37.7724
"100200687010478_ereg_231",-77.8809,37.2542
"100200831010661_ereg_222",-83.568,42.826
"100200920010478_ereg_231",-77.889,37.4364
"100201037010478_ereg_231",-77.6619,37.2473
"100201304010661_ereg_212",-86.1102,43.5692
"100201455010478_ereg_M221",-79.3168,37.5859
"100201679010478_ereg_231",-79.1686,37.5076
"100202150010478_ereg_M221",-79.0977,37.641
"100202323010478_ereg_231",-78.8735,37.4883
"100202399010478_ereg_231",-78.8037,37.232
"100202469010478_ereg_231",-78.786,37.3132
"100202538010661_ereg_212",-89.0842,46.9171
"100202675010661_ereg_212",-89.4578,46.8102
"100202787010661_ereg_212",-89.1138,46.8484
"100202906010478_ereg_M221",-78.8957,38.0454
"100202965010661_ereg_212",-89.1516,46.7691
"100203109010478_ereg_M221",-79.3515,38.0991
"100203198010661_ereg_212",-89.8075,46.6576
"100203242010478_ereg_M221",-79.3055,38.1862
"100203328010478_ereg_M221",-79.1026,37.9711
"100203430010661_ereg_212",-89.3256,46.6665
"100203537010478_ereg_M221",-78.9416,37.9526
"100203601010478_ereg_M221",-79.2282,38.3426
"100203677010478_ereg_M221",-79.2789,38.2783
"100203713010661_ereg_212",-89.2334,46.5116
"100203741010478_ereg_M221",-79.9073,38.0056
"100203814010661_ereg_212",-89.2771,46.3525
"100203867010661_ereg_212",-89.2419,46.8935
"100203891010478_ereg_M221",-79.8562,38.1483
"100203987010478_ereg_M221",-79.7785,38.2122
"100203998010661_ereg_212",-89.8179,46.8015
"100204053010478_ereg_M221",-79.7067,38.037
"100204108010661_ereg_212",-89.6615,46.8082
"100204160010478_ereg_M221",-79.6544,38.0989
"100204299010661_ereg_212",-89.2606,46.8259
"100204343010478_ereg_M221",-79.554,38.0608
"100204444010478_ereg_M221",-79.7841,37.9516
"100204523010478_ereg_M221",-79.7685,37.9061
"100204607010478_ereg_M221",-79.6783,37.4637
"100204788010661_ereg_212",-89.6697,46.7134
"100204953010661_ereg_212",-89.5374,46.6456
"100205155010478_ereg_M221",-79.5014,37.5171
"100205204010661_ereg_212",-89.3476,46.7381
"100205339010661_ereg_212",-89.0231,46.6067
"100205493010478_ereg_231",-79.371,37.4031
"100205646010478_ereg_M221",-79.4028,37.5748
"100205730010478_ereg_231",-79.4128,37.3457
"100205940010478_ereg_M221",-81.2627,37.1756
"100206047010478_ereg_M221",-81.0947,37.1651
"100206216010661_ereg_212",-85.2731,43.9804
"100206318010661_ereg_212",-84.3262,44.8481
"100206506010661_ereg_212",-83.9605,44.8147
"100206536010478_ereg_M221",-79.7356,37.6849
"100206660010478_ereg_M221",-79.6996,37.7533
"100206870010478_ereg_M221",-79.9688,37.5343
"100207043010478_ereg_231",-77.9723,36.7403
"100207293010661_ereg_212",-83.9501,44.524
"100208520010478_ereg_M221",-81.8621,37.2639
"100208525010661_ereg_222",-86.0362,42.9662
"100208576010478_ereg_M221",-81.9091,37.2399
"100208647010661_ereg_222",-85.8782,42.9558
"100208768010478_ereg_M221",-81.944,37.4252
"100208821010478_ereg_231",-78.7163,37.4853
"100209051010661_ereg_212",-84.1978,45.4505
"100209177010661_ereg_212",-83.9396,45.3798
"100209237010478_ereg_231",-78.5798,37.3923
"100209929010478_ereg_231",-78.7779,37.6188
"100210010010478_ereg_231",-78.5927,37.7008
"100210076010661_ereg_212",-83.4268,45.2349
"100210088010478_ereg_231",-79.227,37.2905
"100210404010478_ereg_231",-79.0692,37.334
"100210868010661_ereg_212",-84.6254,44.1961
"100210951010661_ereg_212",-84.8108,44.2155
"100211035010661_ereg_212",-84.8476,44.4481
"100211195010661_ereg_212",-84.4328,44.2104
"100211288010661_ereg_212",-84.6634,44.4538
"100211717010478_ereg_232",-77.2994,38.1883
"100211786010478_ereg_232",-77.3858,38.0972
"100211797010661_ereg_222",-82.7649,43.0368
"100211879010661_ereg_222",-82.5976,43.0365
"100211919010478_ereg_231",-77.4638,37.9443
"100212005010661_ereg_222",-82.6192,42.96
"100212084010478_ereg_M221",-80.7662,36.8567
"100212435010478_ereg_M221",-80.8144,36.7843
"100212833010661_ereg_212",-89.4404,46.4367
"100213174010661_ereg_212",-89.9228,46.5589
"100213264010478_ereg_231",-78.476,36.9957
"100213333010661_ereg_212",-89.9761,46.4189
"100213721010478_ereg_231",-78.7397,37.0841
"100213788010478_ereg_231",-77.7732,37.4113
"100213883010661_ereg_212",-89.1894,46.202
"100214023010661_ereg_212",-89.7439,46.5849
"100214350010661_ereg_212",-89.4435,46.3464
"100214356010478_ereg_231",-77.4149,37.4117
"100214795010478_ereg_M221",-80.2888,37.5162
"100214981010478_ereg_M221",-80.1334,37.5391
"100215070010478_ereg_M221",-80.0198,37.4962
"100215139010661_ereg_212",-89.0094,46.1558
"100215148010478_ereg_M221",-80.1946,37.3852
"100215204010478_ereg_221",-78.0396,38.4486
"100215242010661_ereg_212",-89.3154,46.3152
"100215269010478_ereg_221",-77.9584,38.5821
"100215409010478_ereg_231",-78.4028,37.4061
"100215420010661_ereg_212",-85.4033,44.7444
"100215569010661_ereg_212",-85.4477,44.6687
"100215666010661_ereg_212",-85.6078,44.6615
"100216135010478_ereg_M221",-82.3796,37.1622
"100216362010478_ereg_M221",-82.2875,37.0407
"100216499010661_ereg_212",-88.3731,47.2522
"100216757010478_ereg_M221",-82.3227,37.2743
"100216847010661_ereg_212",-88.8237,47.0558
"100217157010661_ereg_212",-88.8273,46.996
"100217251010661_ereg_212",-88.6326,46.9898
"100217401010661_ereg_212",-88.8647,46.9198
"100217511010661_ereg_212",-88.9137,46.8374
"100217607010661_ereg_212",-88.7384,46.8366
"100218267010661_ereg_212",-88.8062,46.7073
"100218274010478_ereg_221",-77.9991,38.8275
"100218359010661_ereg_212",-88.887,46.5245
"100218532010478_ereg_231",-77.6818,38.4251
"100218685010661_ereg_222",-82.9394,43.8
"100218793010661_ereg_222",-83.3987,43.805
"100218898010478_ereg_221",-77.756,38.6631
"100219007010478_ereg_M221",-80.5046,36.7682
"100219065010661_ereg_222",-82.8897,43.8076
"100219115010478_ereg_M221",-80.3859,37.0042
"100219373010478_ereg_M221",-80.3934,36.9366
"100219456010478_ereg_M221",-80.3818,36.8292
"100219641010478_ereg_M221",-80.1844,37.0698
"100219690010661_ereg_222",-85.2626,42.8426
"100220055010478_ereg_231",-78.1781,37.84
"100220216010661_ereg_212",-83.8487,44.3669
"100220451010478_ereg_231",-79.9317,36.9123
"100220996010661_ereg_212",-88.9556,46.3641
"100221236010661_ereg_212",-88.3695,46.3825
"100221310010478_ereg_M221",-78.4006,39.2567
"100221332010661_ereg_212",-88.2204,46.3845
"100221415010661_ereg_212",-88.5998,46.3183
"100221422010478_ereg_M221",-78.2253,39.3001
"100221538010478_ereg_M221",-80.9118,37.2357
"100221573010661_ereg_212",-88.6386,46.2119
"100221620010478_ereg_M221",-80.8624,37.337
"100221710010661_ereg_212",-88.4844,46.1646
"100221846010478_ereg_M221",-80.541,37.3144
"100221948010478_ereg_M221",-80.6291,37.4172
"100221974010661_ereg_212",-88.6604,46.1502
"100222029010478_ereg_M221",-80.5242,37.3947
"100222034010661_ereg_212",-88.3025,46.1672
"100222081010478_ereg_M221",-80.6806,37.3905
"100222376010478_ereg_232",-76.5818,37.5193
"100222444010661_ereg_212",-88.5123,46.0745
"100222694010478_ereg_231",-78.0744,37.7791
"100222731010661_ereg_212",-88.8148,46.2056
"100222818010478_ereg_231",-77.7875,37.6658
"100222858010661_ereg_212",-88.6839,46.0704
"100223020010478_ereg_M221",-81.3374,36.7327
"100223095010661_ereg_212",-88.5383,46.3765
"100223216010478_ereg_M221",-81.3513,36.6386
"100223266010478_ereg_M221",-78.5823,38.313
"100223516010661_ereg_212",-85.0291,43.6486
"100223716010478_ereg_232",-77.5725,36.596
"100224051010478_ereg_232",-77.2389,37.4675
"100224119010478_ereg_231",-79.9316,36.8039
"100224208010478_ereg_231",-79.9063,36.5983
"100224371010661_ereg_222",-84.1817,42.1873
"100224578010661_ereg_222",-84.2018,42.1305
"100224626010478_ereg_231",-79.706,36.7249
"100225046010661_ereg_222",-85.4473,42.1354
"100225136010661_ereg_222",-85.7135,42.1727
